pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net,NN_ELU,NN_PReLU,NN_Tanh,y_ground_truth
-1.148025,167.847592,392.54599,19200.0,0.0,-9.59999999999989,0.0,0.0,0.0,0.0,0.0,0.3391927333333329,-4.833170566666666,-0.4677733999999999,-0.6345458,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.3391927333333329
-1.148025,167.75159200000002,392.54599,19200.0,0.0,-9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.3378905999999996,-4.84985355,-0.4676513249999999,-0.633434975,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.3378905999999996
-1.148025,167.655592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,0.0,0.0,0.0,0.3374999599999996,-4.84531252,-0.4676757399999999,-0.63481928,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.3374999599999996
-1.148025,167.559592,392.54599,19200.0,0.0,-9.600000000000128,0.0,0.0,0.0,0.0,0.0,0.3369953833333329,-4.842122416666666,-0.4677734,-0.6350585166666667,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.33699538333333295
-1.148025,167.463592,392.54599,19200.0,0.0,-9.599999999999955,0.0,0.0,1.0150610510858576e-11,0.0,0.0,0.3360071571428567,-4.840332071428572,-0.4675641285714285,-0.6359618571428571,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.3360071571428567
-1.148025,167.367592,392.54599,19200.0,0.0,-9.600000000000186,0.0,0.0,-8.881784197001252e-12,0.0,0.0,0.3352659874999996,-4.8372192625,-0.4675292499999999,-0.6361907375,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.3352659874999996
-1.148025,167.271592,392.54599,19200.0,0.0,-9.600000000000048,0.0,0.0,7.894919286223335e-12,0.0,0.0,0.3343639999999996,-4.830783444444445,-0.4671765888888888,-0.6364257222222222,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.3343639999999996
-1.148025,167.175592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,0.0,0.0,0.0,0.3333982999999996,-4.83002932,-0.46684563,-0.63599848,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.3333982999999996
-1.148025,166.983592,392.54599,19200.0,0.0,-9.599999999999936,0.0,0.0,7.105427357601002e-12,0.0,0.0,0.3318845899999996,-4.82827152,-0.4662596699999999,-0.63589593,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.3318845899999996
-1.148025,166.791592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,-7.105427357601002e-12,0.0,0.0,0.3302732899999995,-4.82456059,-0.4655760499999999,-0.63645991,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.33027328999999955
-1.148025,166.599592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,0.0,0.0,0.0,0.3286619999999995,-4.82275394,-0.4646483,-0.63589596,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.32866199999999957
-1.148025,166.407592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,0.0,0.0,0.0,0.3270018799999995,-4.81440433,-0.46362291,-0.636665,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.3270018799999995
-1.148025,166.215592,392.54599,19200.0,0.0,-9.59999999999994,0.0,0.0,7.105427357601002e-12,0.0,0.0,0.3252929299999995,-4.81704105,-0.4623534099999999,-0.63604976,0.0,0.0,0.0,0.0,0.0,0.2903723120689392,0.3304751515388489,0.3017190396785736,0.29531535506248474,0.32529292999999954
