pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net,NN_ELU,NN_PReLU,NN_Tanh,y_ground_truth
-23.26575774,218.34450066,386.545971,19200.0,8.970293999999992,3.401153000000079,0.0,1.9421749999999407,-5.18754999998805,0.0,0.0,-1.1985840099999998,-5.29526364,-0.0810547899999999,-3.26197265,737.2033103276974,-261.4058009891238,167.42547356982496,782.7035522469594,588.0000000000058,-1.9295332431793213,-1.8728132247924805,-1.9121354818344116,-1.9049972295761108,-1.1985840099999998
-23.08553896,218.41028236,386.545971,19200.0,9.010939000000011,3.2890850000001137,0.0,2.0322500000009627,-5.60339999999826,0.0,0.0,-1.1915527499999996,-5.276708960000001,-0.0804688299999999,-3.26202393,733.8232832948999,-270.51911779717983,167.42528411914674,782.7025859566858,588.8640000000072,-1.9377291202545166,-1.881826639175415,-1.9244449138641357,-1.9164645671844482,-1.1915527499999996
-22.90447237,218.47365044,386.545971,19200.0,9.0533295,3.168404000000038,0.0,2.1195249999994616,-6.034050000003788,0.0,0.0,-1.1862793399999998,-5.27080075,-0.0797852299999999,-3.26289552,730.0976341540872,-280.2600610598993,167.42511797452266,782.7017385389136,589.4880000000063,-1.945961594581604,-1.891388177871704,-1.9372355937957764,-1.9282108545303345,-1.1862793399999998
-22.72253821,218.53445991,386.545971,19200.0,9.096708000000008,3.040473500000189,0.0,2.168925000000327,-6.396524999992437,0.0,0.0,-1.1825683999999996,-5.2611815900000005,-0.0791016099999999,-3.26151124,726.0509955360585,-290.50374188534755,167.4250210744911,782.7012443022469,589.920000000007,-1.9542030096054077,-1.9012620449066162,-1.9503297805786133,-1.9404518604278564,-1.1825683999999996
-22.53974057,218.59261552,386.545971,19200.0,9.139882000000004,2.907780500000001,0.0,2.1586999999998526,-6.634650000009401,0.0,0.0,-1.1752929999999997,-5.24907224,-0.0782714999999999,-3.26207519,721.7404421469413,-301.0327563850493,167.4249526788454,782.7008954519413,590.2320000000066,-1.9624748229980469,-1.9110904932022095,-1.9635635614395142,-1.952806830406189,-1.1752929999999995
-22.35610832,218.64807915,386.545971,19200.0,9.18161249999999,2.7731814999998505,0.0,2.08652499999929,-6.729950000007534,0.0,0.0,-1.1672363499999996,-5.24360348,-0.0776367199999999,-3.2623315400000004,717.2394256182638,-311.6039948542363,167.42494816927123,782.7008724509767,590.3760000000068,-1.970823884010315,-1.9206806421279907,-1.9770057201385498,-1.9649540185928345,-1.1672363499999996
-22.17168068,218.70083768,386.545971,19200.0,9.221382000000007,2.6379264999998497,0.0,1.9884750000009943,-6.76275000000004,0.0,0.0,-1.1557129099999996,-5.24321288,-0.0769042799999999,-3.26315186,712.5818397147875,-322.112634907924,167.42494840492188,782.7008736529061,590.7120000000083,-1.9790983200073242,-1.9299650192260742,-1.9903005361557007,-1.976708173751831,-1.1557129099999996
-21.9864975,218.75087972,386.545971,19200.0,9.259158999999997,2.502102000000264,0.0,1.8888499999993928,-6.791224999979306,0.0,0.0,-1.1489746499999995,-5.237499990000001,-0.0763671599999999,-3.2633056600000003,707.7703205274341,-332.5516471626825,167.42494659097255,782.7008644009069,591.0720000000059,-1.9870822429656982,-1.9388818740844727,-2.0033016204833984,-1.9881885051727295,-1.1489746499999995
-21.80059877,218.79819446,386.545971,19200.0,9.294936500000013,2.365737000000081,0.0,1.788875000000806,-6.8182500000091295,0.0,0.0,-1.13950199,-5.22729491,-0.0758788699999999,-3.2649975600000003,702.8059262066606,-342.9188250743395,167.42495347745665,782.700899525232,591.1680000000051,-1.9948002099990845,-1.9473330974578857,-2.0162651538848877,-1.999505639076233,-1.1395019899999999
-21.61402467,218.84277163,386.545971,19200.0,9.328705,2.228858500000115,0.0,1.688424999999333,-6.843924999998308,0.0,0.0,-1.1257813099999996,-5.21025386,-0.0754394099999999,-3.26479249,697.6895352344363,-353.2120567639796,167.424950997919,782.7008868784206,591.3120000000054,-2.0020182132720947,-1.9553349018096924,-2.028907299041748,-2.010336399078369,-1.1257813099999996
-21.42681552,218.88460167,386.545971,19200.0,9.360457500000017,2.091501999999963,0.0,1.5876250000008754,-6.867825000007599,0.0,0.0,-1.1160644999999998,-5.1978026900000005,-0.0751952699999999,-3.26438236,692.4225656957386,-363.42871832334674,167.4249498264427,782.7008809033366,591.4320000000065,-2.0089104175567627,-1.9628851413726807,-2.041293144226074,-2.0207087993621826,-1.1160644999999998
-21.23901176,218.92367547,386.545971,19200.0,9.390187999999997,1.9536899999998525,0.0,1.486524999998912,-6.89060000000552,0.0,0.0,-1.1139160499999998,-5.19311521,-0.0751464399999999,-3.2640747400000003,687.0058336243441,-373.56712741087415,167.4249436828453,782.7008495680908,591.3840000000055,-2.015498399734497,-1.970126748085022,-2.0531671047210693,-2.030848264694214,-1.1139160499999998
-21.05065397,218.95998466,386.545971,19200.0,9.417889499999976,1.815459500000145,0.0,1.3850749999990757,-6.911524999985375,0.0,0.0,-1.1074218999999996,-5.18652344,-0.0749999499999999,-3.26474123,681.4408288588606,-383.6245640315745,167.42494473434652,782.700854931243,591.3120000000083,-2.0223331451416016,-1.9770317077636719,-2.064997434616089,-2.0407228469848633,-1.1074218999999996
-20.861782850000004,218.99352134,386.545971,19200.0,9.443555999999996,1.6768339999998716,0.0,1.2833250000010623,-6.93127500001367,0.0,0.0,-1.0995117499999998,-5.185253919999999,-0.0744140099999998,-3.26689453,675.7284615514973,-393.5993022615317,167.42493802240037,782.7008206971417,591.2640000000072,-2.0291571617126465,-1.983572244644165,-2.076559066772461,-2.049982786178589,-1.0995117499999998
-20.67243916,219.02427831,386.545971,19200.0,9.467184500000004,1.5378484999997966,0.0,1.181425000000408,-6.949275000003752,0.0,0.0,-1.08862308,-5.1841797,-0.0739257299999999,-3.26607422,669.8702987654135,-403.4888918289571,167.42495592318227,782.7009119995798,591.1200000000069,-2.035621166229248,-1.989622712135315,-2.0876896381378174,-2.0586233139038086,-1.0886230799999999
