pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net,y_ground_truth.1,Neural_Net.1,Sequential_Neural_Net
-11.87783235,182.03467077,386.78,22800.0,-5.785980999999988,-0.6281280000000321,0.0,-0.8114999999988542,6.741349999991542,0.0,0.0,0.6976074099999999,-5.0344238500000005,-0.3238281599999998,-1.35428468,-138.34374525227935,184.6445456689146,72.15297058488656,231.24097656453975,359.49600000000794,0.6976074099999999,0.7275944948196411,0.6976074099999999,0.728455,0.698765754699707
-11.9938136,182.02481175,386.78,22800.0,-5.799062499999996,-0.4929509999999482,0.0,-0.6540750000003643,6.758850000004202,0.0,0.0,0.688916,-5.05996095,-0.3211914399999998,-1.35484864,-133.9977151747971,187.82228731477213,72.15297230838348,231.2409798489168,359.6640000000072,0.688916,0.7240782976150513,0.688916,0.7255982,0.6964789628982544
-12.10999331,182.01766162,386.78,22800.0,-5.808985499999997,-0.357506499999971,0.0,-0.496150000000028,6.772224999998855,0.0,0.0,0.68115235,-5.09848635,-0.3220214899999998,-1.35736085,-129.578752096748,190.89773844133384,72.1529714454369,231.2409782044388,359.47200000000885,0.68115235,0.7204121351242065,0.68115235,0.7223083,0.6940973401069641
-12.22630824,182.01322425,386.78,22800.0,-5.815746500000003,-0.2218684999999709,0.0,-0.3380500000003112,6.781900000000007,0.0,0.0,0.66982422,-5.15219728,-0.3249023599999998,-1.3575659400000002,-125.08928236310078,193.86921727910203,72.15297395644556,231.24098298954613,359.47200000000885,0.66982422,0.7164129018783569,0.66982422,0.71862775,0.6916435360908508
-12.34269503,182.01150208,386.78,22800.0,-5.819339500000007,-0.086108499999824,0.0,-0.1796500000001972,6.788000000007344,0.0,0.0,0.66386719,-5.22758791,-0.3243164399999998,-1.35715579,-120.53164228984213,196.7351562569022,72.15297278794246,231.24098076278503,359.44800000000686,0.66386719,0.7122966647148132,0.66386719,0.7145466,0.688957691192627
-12.45909031,182.01249606,386.78,22800.0,-5.819763999999994,0.0496990000000607,0.0,-0.0212249999993469,6.790374999994242,0.0,0.0,0.66250001,-5.30458985,-0.3224609699999998,-1.35956546,-115.90835683189084,199.4939918088064,72.15297143210228,231.24097817902216,359.3040000000066,0.66250001,0.7079453468322754,0.66250001,0.71015096,0.6864875555038452
-12.57543073,182.01620564,386.78,22800.0,-5.817020999999992,0.1854790000001571,0.0,0.1371500000000307,6.789000000004819,0.0,0.0,0.65566407,-5.373632799999999,-0.3245117499999998,-1.35833499,-111.22198100877294,202.1441902159324,72.15297444451643,231.24098391960823,359.2080000000045,0.65566407,0.7032803893089294,0.65566407,0.70608866,0.683734118938446
-12.691652909999998,182.0226288,386.78,22800.0,-5.8111090000000045,0.3211579999999969,0.0,0.2955999999993968,6.783949999991989,0.0,0.0,0.6436035099999999,-5.451855459999999,-0.3270508199999998,-1.35489992,-106.47503225309816,204.68432086910497,72.15297266279961,231.2409805242719,358.872000000003,0.6436035099999999,0.6982603073120117,0.6436035099999999,0.7017306,0.6810406446456909
-12.80769356,182.03176202,386.78,22800.0,-5.802032499999994,0.4566610000000537,0.0,0.4538250000005743,6.775150000002839,0.0,0.0,0.6398437499999999,-5.54462889,-0.3261230499999998,-1.35346436,-101.67013239473064,207.11297245321884,72.15297038128936,231.2409761765129,358.94400000000314,0.6398437499999999,0.6930797100067139,0.6398437499999999,0.6971601,0.6779536008834839
-12.9234895,182.04360033,386.78,22800.0,-5.789796999999996,0.5919155000000842,0.0,0.6117749999998705,6.762725000001524,0.0,0.0,0.62807619,-5.63447264,-0.3250488299999998,-1.35689942,-96.8098736743974,209.42885054270104,72.15296898451558,231.2409735147492,358.7760000000038,0.62807619,0.6877215504646301,0.62807619,0.6926136,0.6753581762313843
-13.03897772,182.0581373,386.78,22800.0,-5.774411000000015,0.7268485000000169,0.0,0.769299999999085,6.7466499999966345,0.0,0.0,0.6162109699999999,-5.71923824,-0.3277831999999998,-1.36064211,-91.8969201753462,211.63071854346103,72.15297279492248,231.24098077606743,358.68000000000467,0.6162109699999999,0.6822248101234436,0.6162109699999999,0.6878557,0.6722709536552429
-13.15409532,182.07536502,386.78,22800.0,-5.755880000000007,0.8613860000001239,0.0,0.9265500000004152,6.72687500000535,0.0,0.0,0.6213867399999999,-5.804736320000001,-0.3296874999999998,-1.36294925,-86.93390069882709,213.71733724406053,72.15297605208423,231.24098698308475,358.4880000000033,0.6213867399999999,0.6767359375953674,0.6213867399999999,0.6828868,0.6691630482673645
-13.26877958,182.09527411,386.78,22800.0,-5.734213000000006,0.9954544999999372,0.0,1.083350000000039,6.703424999990659,0.0,0.0,0.6234375099999999,-5.87685546,-0.3273925999999998,-1.36710209,-81.92350099670284,215.6875959816205,72.15297305825678,231.24098127789563,358.6320000000007,0.6234375099999999,0.6709553003311157,0.6234375099999999,0.6777092,0.6658639907836914
-13.38296535,182.11786045,386.78,22800.0,-5.709288499999995,1.129317000000043,0.0,1.2462250000004895,6.693125000005296,0.0,0.0,0.61684571,-5.91816405,-0.3262695599999998,-1.37135747,-76.85409069240318,217.5436735066317,72.15287805485103,231.2408002433452,358.58399999999966,0.61684571,0.6647758483886719,0.61684571,0.671931,0.6624099016189575
-13.49655362,182.14320209,386.78,22800.0,-5.679413499999999,1.2670819999998173,0.0,1.4937499999998498,6.888249999988716,0.0,0.0,0.61118165,-5.944531230000001,-0.3289062599999998,-1.37156255,-71.5492256108932,219.319798153662,72.1519239285229,231.2389829258137,358.3920000000013,0.61118165,0.6583210229873657,0.61118165,0.6647757,0.6584545969963074
-13.609411,182.1714563,386.78,22800.0,-5.642868999999999,1.4127105000000029,0.0,1.8272249999999883,7.281425000009278,0.0,0.0,0.6086914,-5.977978510000001,-0.3295898499999998,-1.36992193,-65.83925675271635,221.03358258096412,72.15042204082891,231.23612311525056,358.53600000000154,0.6086914,0.651741623878479,0.6086914,0.65695035,0.6547287106513977
