pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net,y_ground_truth.1,Neural_Net.1,Sequential_Neural_Net
-28.648025,209.685542,386.54599,19200.0,0.0,9.600000000000222,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.3970214900000004,-6.25517579,-0.13417977,-3.22900633,506.12810320917714,597.0487382359582,167.42647577782657,782.7086639914428,584.7119999999995,-0.3970214900000004,0.03397240862250328,-0.3970214900000004,0.011203121,-0.15441517531871796
-28.648025,209.877542,386.54599,19200.0,0.0,9.599999999999936,0.0,0.0,-1.4212275800673524e-11,0.0,0.0,-0.3975097600000004,-6.25434569,-0.13432625,-3.22900633,506.1281032091727,597.0487382359452,167.42647577782404,782.70866399143,586.2,-0.39750976000000043,0.034522928297519684,-0.3975097600000004,0.01141002,-0.15341460704803467
-28.648025,210.069542,386.54599,19200.0,0.0,9.599999999999936,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.3997558400000004,-6.249707030000001,-0.13442391,-3.22387936,506.1281032091727,597.0487382359453,167.42647577782404,782.70866399143,587.0880000000004,-0.3997558400000004,0.0350162573158741,-0.3997558400000004,0.011537347,-0.1534380465745926
-28.648025,210.261542,386.54599,19200.0,0.0,9.599999999999936,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.4013183400000004,-6.24365234,-0.1347657,-3.2190087400000005,506.1281032091727,597.0487382359452,167.42647577782404,782.70866399143,587.3520000000019,-0.40131834000000044,0.03535575419664383,-0.4013183400000004,0.011623979,-0.15252484381198883
-28.648025,210.45354200000003,386.54599,19200.0,0.0,9.599999999999936,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.4021972600000004,-6.24750977,-0.13500984,-3.21429192,506.1281032091727,597.0487382359453,167.42647577782404,782.70866399143,587.448000000004,-0.40219726000000044,0.03551899269223213,-0.4021972600000004,0.011703208,-0.15295688807964325
-28.648025,210.64554200000003,386.54599,19200.0,0.0,9.599999999999936,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.4018066300000004,-6.2456543,-0.13535164,-3.2094212900000003,506.1281032091727,597.0487382359453,167.42647577782404,782.70866399143,587.4960000000021,-0.40180663000000044,0.035571008920669556,-0.4018066300000004,0.011729557,-0.1524699479341507
-28.648025,210.837542,386.54599,19200.0,0.0,9.60000000000008,0.0,0.0,7.1040062721294805e-12,0.0,0.0,-0.4008788900000004,-6.24296875,-0.1354493,-3.20639638,506.128103209175,597.0487382359518,167.4264757778253,782.7086639914363,587.5200000000011,-0.40087889000000043,0.035592179745435715,-0.4008788900000004,0.011737864,-0.15275266766548157
-28.648025,211.029542,386.54599,19200.0,0.0,9.599999999999795,0.0,0.0,-1.4212275800673524e-11,0.0,0.0,-0.3996093500000004,-6.2380371,-0.13554694,-3.20357657,506.1281032091704,597.0487382359387,167.42647577782276,782.7086639914235,587.520000000007,-0.3996093500000004,0.03560183197259903,-0.3996093500000004,0.011740722,-0.15261107683181763
-28.648025,211.221542,386.54599,19200.0,0.0,9.599999999999795,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.3989745700000004,-6.24990232,-0.13569342,-3.20332022,506.1281032091704,597.0487382359387,167.42647577782276,782.7086639914235,587.5200000000128,-0.3989745700000004,0.03560515120625496,-0.3989745700000004,0.011742938,-0.1526871770620346
-28.648025,211.413542,386.54599,19200.0,0.0,9.599999999999795,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.3977538400000004,-6.25268552,-0.1356446,-3.2081908500000003,506.1281032091704,597.0487382359386,167.42647577782276,782.7086639914236,587.5200000000186,-0.3977538400000004,0.03560515120625496,-0.3977538400000004,0.011742938,-0.15264616906642914
-28.648025,211.605542,386.54599,19200.0,0.0,9.599999999999795,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.3962401800000004,-6.24794917,-0.13544929,-3.20993402,506.1281032091705,597.0487382359387,167.42647577782276,782.7086639914235,587.5200000000186,-0.39624018000000044,0.03560515120625496,-0.3962401800000004,0.011742938,-0.1526697278022766
-28.648025,211.797542,386.54599,19200.0,0.0,9.60000000000008,0.0,0.0,1.4209433629730483e-11,0.0,0.0,-0.3960937100000004,-6.25278318,-0.1351075,-3.2118822700000003,506.128103209175,597.0487382359518,167.4264757778253,782.7086639914364,587.5200000000186,-0.39609371000000043,0.03560515120625496,-0.3960937100000004,0.011742938,-0.1526552140712738
-28.648025,211.98954200000003,386.54599,19200.0,0.0,9.60000000000008,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.3959472300000004,-6.26591795,-0.13486334,-3.21408687,506.128103209175,597.0487382359518,167.4264757778253,782.7086639914363,587.5200000000186,-0.3959472300000004,0.03560515120625496,-0.3959472300000004,0.011742938,-0.15266475081443787
-28.648025,212.181542,386.54599,19200.0,0.0,9.599999999999936,0.0,0.0,-7.1068484430725216e-12,0.0,0.0,-0.3956542600000004,-6.2615722400000005,-0.13447272,-3.2154711500000004,506.1281032091726,597.0487382359453,167.42647577782404,782.70866399143,587.5200000000186,-0.3956542600000004,0.03560515120625496,-0.3956542600000004,0.011742938,-0.15265826880931854
-28.648025,212.373542,386.54599,19200.0,0.0,9.599999999999936,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.3958495700000004,-6.25786127,-0.13417974,-3.2149071900000004,506.1281032091727,597.0487382359453,167.42647577782404,782.70866399143,587.5200000000186,-0.39584957000000043,0.03560515120625496,-0.3958495700000004,0.011742938,-0.1526627242565155
-28.648025,212.565542,386.54599,19200.0,0.0,9.599999999999936,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.3958495700000004,-6.265283160000001,-0.13413091,-3.21459957,506.1281032091727,597.0487382359452,167.42647577782404,782.70866399143,587.5200000000186,-0.3958495700000004,0.03560515120625496,-0.3958495700000004,0.011742938,-0.15265965461730957
-28.648025,212.757542,386.54599,19200.0,0.0,9.599999999999936,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,-0.3948241800000004,-6.271582,-0.13442388,-3.21095945,506.1281032091727,597.0487382359453,167.42647577782404,782.70866399143,587.5200000000186,-0.3948241800000004,0.03560515120625496,-0.3948241800000004,0.011742938,-0.15266169607639313
