pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net_Old,Neural_Net_New,Random_Forest_Old,Random_Forest_New
-23.53168379,194.38366863,386.54599,19200.0,-6.788225000000009,6.788224999999954,0.0,9.996344030316353e-18,-7.105415322956887e-12,0.0,0.0,0.3244628899999995,-6.623095739999999,-0.12465824,-3.2369018100000004,-64.29059456511389,780.0638192974423,167.42647453030838,782.7086576285103,594.9840000000083,0.32446288999999956,1.7278461456298828,1.4706099033355713,2.6234116186,1.5466914010000001
-23.66744829,194.51943314,386.54599,19200.0,-6.78822499999999,6.788225499999925,0.0,8.881899989793275e-13,2.499999851580467e-05,0.0,0.0,0.3322265599999995,-6.623974629999999,-0.12392579,-3.23520993,-64.29057341308803,780.0638370998769,167.42647766821693,782.7086736333879,594.9840000000025,0.33222655999999956,1.7278330326080322,1.4706159830093384,2.6234116186,1.5466914010000001
-23.80321279,194.65519764,386.54599,19200.0,-6.788225000000009,6.788224999999954,0.0,-8.881700008702558e-13,-2.499999851578533e-05,0.0,0.0,0.3404296999999995,-6.62338867,-0.12338869,-3.2331591699999995,-64.29059456510431,780.0638192974426,167.42647453030952,782.7086576285135,594.9360000000045,0.3404296999999995,1.7278028726577759,1.4705876111984253,2.6234116186,1.5466914010000001
-23.93897729,194.79096214,386.54599,19200.0,-6.78822499999999,6.7882250000000965,0.0,8.881900098213491e-13,7.1054320305123654e-12,0.0,0.0,0.3438965099999995,-6.6368652400000006,-0.12319337,-3.22787839,-64.290594565097,780.0638192974473,167.4264745303103,782.7086576285176,594.9600000000034,0.34389650999999954,1.7277603149414062,1.4705400466918945,2.6234116186,1.5466914010000001
-24.07474179,194.92672664,386.54599,19200.0,-6.78822499999999,6.788224999999812,0.0,9.996344030316353e-18,-1.4210857973229532e-11,0.0,0.0,0.3440430099999995,-6.63745116,-0.12260743,-3.22628903,-64.29059456510899,780.0638192974371,167.4264745303085,782.7086576285085,594.8880000000005,0.3440430099999995,1.727723479270935,1.4705020189285278,2.6234116186,1.5466914010000001
-24.21050629,195.06249114,386.54599,19200.0,-6.7882250000000255,6.788224999999954,0.0,-1.7763500089265638e-12,7.1054320305123654e-12,0.0,0.0,0.3426269999999995,-6.6365234200000005,-0.12246094,-3.2251611,-64.29059456510555,780.0638192974432,167.4264745303096,782.7086576285141,594.8159999999974,0.3426269999999995,1.727691650390625,1.4704571962356567,2.6234116186,1.5466914010000001
-24.34627079,195.19825564,386.54599,19200.0,-6.788225000000009,6.788225000000239,0.0,8.88180002635297e-13,1.4210862033566668e-11,0.0,0.0,0.3372070599999995,-6.62753902,-0.12221682,-3.2220337,-64.29059456509223,780.0638192974527,167.42647453031128,782.7086576285226,594.8399999999965,0.33720705999999956,1.7276275157928467,1.4703686237335205,2.6234116186,1.5466914010000001
-24.48203529,195.33402014,386.54599,19200.0,-6.788225000000009,6.788224999999954,0.0,0.0,-1.421084739683734e-11,0.0,0.0,0.3396972999999995,-6.62836913,-0.12172854,-3.2202905200000003,-64.29059456510424,780.0638192974427,167.4264745303095,782.7086576285135,594.7679999999934,0.33969729999999954,1.7275482416152954,1.4702855348587036,2.6234116186,1.5466914010000001
-24.617799800000004,195.46978464,386.54599,19200.0,-6.788225500000013,6.788224999999954,0.0,-2.5000000292150003e-05,1.2598429244281563e-17,0.0,0.0,0.3353515899999995,-6.632226559999999,-0.12167971,-3.21967529,-64.29063087020418,780.0638323644279,167.4264776682155,782.7086736333822,594.6239999999932,0.33535158999999953,1.7274879217147827,1.470215082168579,2.6234116186,1.5466914010000001
-24.7535643,195.60554915,386.54599,19200.0,-6.78822499999999,6.788225499999925,0.0,2.500000118033e-05,2.49999985158026e-05,0.0,0.0,0.3323730599999995,-6.6352050700000005,-0.12216798,-3.21659911,-64.29057341305872,780.0638370998915,167.42647766821057,782.7086736333569,594.5999999999883,0.3323730599999995,1.7274401187896729,1.470132827758789,2.6234116186,1.5466914010000001
-24.88932881,195.74131365,386.54599,19200.0,-6.788225499999996,6.788224999999954,0.0,-2.5000000292148424e-05,-2.49999985157874e-05,0.0,0.0,0.3331054699999995,-6.631249960000001,-0.12285157,-3.21572753,-64.2906308701816,780.063832364453,167.42647766820846,782.7086736333462,594.5519999999844,0.3331054699999995,1.7274055480957031,1.4700758457183838,2.6234116186,1.5466914010000001
-25.025093310000003,195.87707816,386.54599,19200.0,-6.78822499999999,6.788225500000067,0.0,2.500000029215157e-05,2.50000056212226e-05,0.0,0.0,0.3222167899999995,-6.63652338,-0.1233887,-3.21844481,-64.29057341305267,780.0638370998967,167.42647766821145,782.7086736333615,594.4559999999881,0.3222167899999995,1.7273597717285156,1.4700098037719727,2.6234116186,1.5466914010000001
-25.16085781,196.01284266,386.54599,19200.0,-6.788225000000009,6.788224999999954,0.0,-8.881784197001252e-13,-2.50000056212174e-05,0.0,0.0,0.3184081799999995,-6.63364253,-0.12368166,-3.22270016,-64.2905945650866,780.0638192974541,167.42647453030372,782.7086576284867,594.4799999999872,0.3184081799999995,1.7273280620574951,1.4699631929397583,2.6234116186,1.5466914010000001
-25.29662231,196.14860716,386.54599,19200.0,-6.788225000000009,6.788224999999954,0.0,1.5612511283791264e-18,5.247538514829841e-18,0.0,0.0,0.3138671399999995,-6.635644480000001,-0.12382814,-3.2277245800000003,-64.2905945650866,780.0638192974541,167.42647453030372,782.7086576284867,594.3839999999909,0.3138671399999995,1.7273128032684326,1.4699349403381348,2.6234116186,1.5466914010000001
-25.432386810000004,196.28437166,386.54599,19200.0,-6.78822499999999,6.7882250000000965,0.0,8.881815638864254e-13,7.105435250592817e-12,0.0,0.0,0.3086425399999995,-6.6401366600000005,-0.12402346,-3.23008298,-64.29059456507929,780.0638192974587,167.42647453030452,782.7086576284906,594.3599999999976,0.3086425399999995,1.7273035049438477,1.46990966796875,2.6234116186,1.5466914010000001
