pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net_Old,Neural_Net_New,Random_Forest_Old,Random_Forest_New
-36.64979791,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.9428710999999996,-4.67211918,-0.0920899099999999,-3.28632567,597.0487382359454,-506.1281032091709,167.42647577782353,782.7086639914298,84.02399999998451,-0.9428710999999996,-1.0353493690490723,-1.7078354358673096,-0.7895786867629397,-1.088783144000621
-36.4577979,209.482,386.545971,19200.0,9.60000049999998,0.0,0.0,2.4999998515793163e-05,0.0,0.0,0.0,-0.9466308499999996,-4.67641606,-0.0927246599999999,-3.28150633,597.0487612471991,-506.1281110673379,167.42648021549743,782.7086866257503,93.95999999998313,-0.9466308499999995,-1.0385490655899048,-1.709067702293396,-0.7895357498064182,-1.088770547884679
-36.2657979,209.482,386.545971,19200.0,9.599999999999971,0.0,0.0,-2.5000000292150003e-05,0.0,0.0,0.0,-0.9440429699999996,-4.681201199999999,-0.0934570599999999,-3.2760205,597.0487382359468,-506.1281032091732,167.42647577782435,782.7086639914315,104.11199999998207,-0.9440429699999997,-1.0417982339859009,-1.7102365493774414,-0.7895435517194616,-1.088783144000621
-36.0737979,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,1.7763568394002505e-12,0.0,0.0,0.0,-0.9510742199999996,-4.68583988,-0.0945312799999999,-3.26997072,597.0487382359486,-506.1281032091738,167.4264757778247,782.7086639914331,114.3839999999822,-0.9510742199999995,-1.0452351570129395,-1.7115049362182617,-0.7895357498064182,-1.088770547884679
-35.88179791,209.482,386.545971,19200.0,9.5999995,0.0,0.0,-2.500000029214316e-05,0.0,0.0,0.0,-0.9535156199999996,-4.69101564,-0.0954590099999999,-3.264126,597.0487152246932,-506.1280953510062,167.4264713401504,782.7086413571111,124.8479999999836,-0.9535156199999996,-1.0487549304962158,-1.7127189636230469,-0.7895781559585919,-1.0887999155223602
-35.68979791,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,2.5000000292156844e-05,0.0,0.0,0.0,-0.9596191099999996,-4.695800790000001,-0.0961425999999999,-3.25869144,597.0487382359454,-506.1281032091709,167.42647577782353,782.7086639914298,135.57599999998348,-0.9596191099999997,-1.0523382425308228,-1.7139041423797607,-0.789595139632505,-1.0887776244354037
-35.49779791,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,6.841315708383533e-18,0.0,0.0,0.0,-0.9562011299999996,-4.70058593,-0.0969238499999999,-3.25346196,597.0487382359454,-506.1281032091709,167.42647577782353,782.7086639914298,146.5199999999837,-0.9562011299999996,-1.0560553073883057,-1.7151787281036377,-0.7895781559585919,-1.0888476823484472
-35.30579791,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,6.841315708383533e-18,0.0,0.0,0.0,-0.9611327799999996,-4.70527342,-0.0977050999999999,-3.2468994600000003,597.0487382359454,-506.1281032091709,167.42647577782353,782.7086639914298,157.60799999998417,-0.9611327799999996,-1.059966802597046,-1.7165600061416626,-0.7895435517194616,-1.0888481068701863
-35.1137979,209.482,386.545971,19200.0,9.600000500000014,0.0,0.0,2.5000000292156844e-05,0.0,0.0,0.0,-0.9614257499999996,-4.71142574,-0.0984375199999999,-3.23849125,597.0487612471975,-506.1281110673355,167.4264802154966,782.7086866257487,168.79199999998383,-0.9614257499999997,-1.0640584230422974,-1.7179628610610962,-0.7895333615455485,-1.088770547884679
-34.921797899999994,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,-2.500000029214316e-05,0.0,0.0,0.0,-0.9657226299999996,-4.7173827600000005,-0.0993164399999999,-3.2300318,597.0487382359422,-506.128103209168,167.42647577782242,782.7086639914266,180.1199999999837,-0.9657226299999996,-1.0680564641952515,-1.7193658351898193,-0.7895333615455485,-1.0887999155223602
-34.7297979,209.482,386.545971,19200.0,9.599999999999977,0.0,0.0,-1.776353158533875e-12,0.0,0.0,0.0,-0.9624511399999996,-4.72167961,-0.1002930199999998,-3.2216236,597.0487382359406,-506.1281032091674,167.42647577782208,782.708663991425,191.4479999999836,-0.9624511399999995,-1.0720502138137817,-1.7207781076431274,-0.7895435517194616,-1.0888251789136647
-34.5377979,209.482,386.545971,19200.0,9.600000000000046,0.0,0.0,3.5527173596668764e-12,0.0,0.0,0.0,-0.9648437299999996,-4.72514639,-0.1011231299999999,-3.21793219,597.048738235944,-506.1281032091685,167.42647577782273,782.7086639914284,202.89599999998464,-0.9648437299999996,-1.0760748386383057,-1.7222553491592407,-0.7895333615455485,-1.0887897253049688
-34.3457979,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,-1.776353158533875e-12,0.0,0.0,0.0,-0.9657226499999996,-4.728320200000001,-0.1018067399999999,-3.21531744,597.0487382359422,-506.128103209168,167.4264757778224,782.7086639914266,214.46399999998684,-0.9657226499999995,-1.0801302194595337,-1.723754644393921,-0.7895781559585919,-1.088783144000621
-34.1537979,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,3.680866375588288e-18,0.0,0.0,0.0,-0.9653320199999996,-4.73115222,-0.1019043899999999,-3.21439457,597.0487382359422,-506.128103209168,167.4264757778224,782.7086639914266,226.1519999999873,-0.9653320199999996,-1.0842130184173584,-1.7252016067504883,-0.7895435517194616,-1.088783144000621
-33.96179789,209.482,386.545971,19200.0,9.60000049999998,0.0,0.0,2.499999851579e-05,0.0,0.0,0.0,-0.9606445199999996,-4.733398320000001,-0.1021973699999998,-3.21147219,597.0487612471959,-506.128111067335,167.4264802154963,782.7086866257471,237.8879999999859,-0.9606445199999996,-1.0883111953735352,-1.7267268896102905,-0.789541641110766,-1.0888056475223602
-33.76979789,209.482,386.545971,19200.0,9.600000000000009,0.0,0.0,-2.499999851579632e-05,0.0,0.0,0.0,-0.9572753899999996,-4.73583973,-0.1029297899999999,-3.20962646,597.0487382359454,-506.1281032091709,167.42647577782353,782.70866399143,249.59999999998544,-0.9572753899999995,-1.0924122333526611,-1.7281723022460938,-0.789568178110766,-1.0888056475223602
