pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_S235JR_Plate_Normal_3,Random_Forest_S235JR_Plate_Normal_3
-1.148025,167.75159200000002,392.54599,19200.0,0.0,-9.599999999999651,0.0,0.0,0.0,0.0,0.0,0.3381347499999996,-4.8254395,-0.4675292499999999,-0.63394765,0.0,0.0,0.0,0.0,0.0,,
-1.148025,167.559592,392.54599,19200.0,0.0,-9.600000000000364,0.0,0.0,-3.552713678800501e-11,0.0,0.0,0.3356932499999995,-4.85522475,-0.46752925,-0.6334349499999999,0.0,0.0,0.0,0.0,0.0,,
-1.148025,167.367592,392.54599,19200.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3349607999999995,-4.863525449999999,-0.46752925,-0.6352294999999999,0.0,0.0,0.0,0.0,0.0,,
-1.148025,167.175592,392.54599,19200.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3352049499999996,-4.82666015,-0.46801755,-0.6383056,0.0,0.0,0.0,0.0,0.0,,
-1.148025,166.983592,392.54599,19200.0,0.0,-9.599999999999651,0.0,0.0,3.552713678800501e-11,0.0,0.0,0.3322751499999996,-4.827880950000001,-0.4672850999999999,-0.6388183000000001,0.0,0.0,0.0,0.0,0.0,,
-1.148025,166.79159199999998,392.54599,19200.0,0.0,-9.600000000000364,0.0,0.0,-3.552713678800501e-11,0.0,0.0,0.3300777999999996,-4.822509800000001,-0.4667967999999999,-0.6395874,0.0,0.0,0.0,0.0,0.0,,
-1.148025,166.59959199999997,392.54599,19200.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3286129499999995,-4.79736325,-0.4658202,-0.63804925,0.0,0.0,0.0,0.0,0.0,,
-1.148025,166.407592,392.54599,19200.0,0.0,-9.599999999999651,0.0,0.0,3.552713678800501e-11,0.0,0.0,0.3259275499999995,-4.801269550000001,-0.46411115,-0.63522945,0.0,0.0,0.0,0.0,0.0,,
-1.148025,166.21559200000002,392.54599,19200.0,0.0,-9.599999999999651,0.0,0.0,0.0,0.0,0.0,0.3254392999999995,-4.82714845,-0.46313455,-0.6334349499999999,0.0,0.0,0.0,0.0,0.0,,
-1.148025,166.023592,392.54599,19200.0,0.0,-9.599999999999651,0.0,0.0,0.0,0.0,0.0,0.3244628999999995,-4.817138700000001,-0.4614255,-0.63574215,0.0,0.0,0.0,0.0,0.0,,
-1.148025,165.831592,392.54599,19200.0,0.0,-9.600000000000364,0.0,0.0,-3.552713678800501e-11,0.0,0.0,0.3220217999999996,-4.7978516,-0.4594723999999999,-0.6339478000000001,0.0,0.0,0.0,0.0,0.0,,
-1.148025,165.639592,392.54599,19200.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.0,0.3193361999999996,-4.80444345,-0.4577635499999999,-0.6344604,0.0,0.0,0.0,0.0,0.0,,
-1.148025,165.447592,392.54599,19200.0,0.0,-9.599999999999651,0.0,0.0,3.552713678800501e-11,0.0,0.0,0.3181154499999996,-4.834961,-0.4560548,-0.6359985,0.0,0.0,0.0,0.0,0.0,,
-1.148025,165.255592,392.54599,19200.0,0.0,-9.599999999999651,0.0,0.0,0.0,0.0,0.0,0.3181154499999996,-4.8515625,-0.454346,-0.6331787,0.0,0.0,0.0,0.0,0.0,,
-1.148025,165.06359200000003,392.54599,19200.0,0.0,-9.599999999999651,0.0,0.0,0.0,0.0,0.0,0.3164063999999996,-4.8354491500000005,-0.4514163,-0.63292235,0.0,0.0,0.0,0.0,0.0,,
-1.148025,164.87159200000002,392.54599,19200.0,0.0,-9.600000000000364,0.0,0.0,-3.552713678800501e-11,0.0,0.0,0.3146973499999996,-4.8154295000000005,-0.4494631499999999,-0.6357420999999999,0.0,0.0,0.0,0.0,0.0,,
-1.148025,164.682312,392.54599,19200.0,0.0,-9.46400000000054,0.0,0.0,6.7999999999912575,0.0,0.0,0.3122558499999996,-5.0046385,-0.4492189999999999,-0.6349730499999999,0.0,0.0,0.0,0.0,0.0,,
-1.148025,164.54580195,392.54599,19200.0,0.0,-6.825502499999914,0.0,0.0,131.92487500003125,0.0,0.0,0.3117674999999996,-5.79541005,-0.44848655,-0.6357421999999999,0.0,0.0,0.0,0.0,0.0,,
-1.148025,164.50129095,392.54599,19200.0,0.0,-2.2255499999999984,0.0,0.0,229.99762499999576,0.0,0.0,0.3144531499999996,-5.60180665,-0.4467775,-0.6377929,0.0,0.0,0.0,0.0,0.0,,
-1.148025,164.50001,392.54599,19200.0,0.0,-0.0640474999997309,0.0,0.0,108.07512500001336,0.0,0.0,0.3186036499999995,-4.8808594,-0.44458015,-0.63804925,0.0,0.0,0.0,0.0,0.0,,
-1.148025,164.50001,392.54599,19200.0,0.0,0.0,0.0,0.0,3.202374999986546,0.0,0.0,0.3203126499999995,-4.9194336,-0.4438476999999999,-0.63958735,0.0,0.0,0.0,0.0,0.0,,
-1.148025,164.50001,392.54337665,19200.0,0.0,0.0,-0.1306675000009249,0.0,0.0,-6.533375000046248,0.0,0.3203126499999995,-4.86938475,-0.6149903,-0.6401,0.0,0.0,0.0,0.0,0.0,,
-1.148025,164.50001,392.46796,19200.0,0.0,0.0,-3.770832499999699,0.0,0.0,-182.0082499999387,0.0,0.3227539499999996,-4.84765625,-2.95703125,-0.6385620000000001,0.0,0.0,0.0,0.0,0.0,,
