pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_S235JR_Gear_Normal_3,Random_Forest_S235JR_Gear_Normal_3
-53.648025,209.482,390.759026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,-7.105427357601002e-11,0.0,0.3193362000000004,-5.5332033,-0.66137695,-0.63830565,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,390.567026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3200686500000003,-5.5317385,-0.66455075,-0.6365111999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,390.375026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3205569000000003,-5.531250200000001,-0.68212875,-0.6365111999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,390.183026,19200.0,0.0,0.0,-9.599999999998944,0.0,0.0,7.105427357601002e-11,0.0,0.3200686000000003,-5.532226700000001,-0.6833495999999999,-0.63907465,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,389.991026,19200.0,0.0,0.0,-9.599999999998944,0.0,0.0,0.0,0.0,0.3193362000000003,-5.533447450000001,-0.6694336499999999,-0.6385620000000001,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,389.799026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,-7.105427357601002e-11,0.0,0.3190920500000003,-5.5346680500000005,-0.6601562,-0.63958735,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,389.607026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3195803500000003,-5.5346680500000005,-0.6611327499999999,-0.6408691,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,389.415026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3198244500000003,-5.53393575,-0.6621093499999999,-0.64138185,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,389.223026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3195803000000004,-5.5339357,-0.66870115,-0.6424072,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,389.031026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3186037500000004,-5.5351564,-0.6662598,-0.6447144,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,388.839026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3176271500000002,-5.5358888,-0.67553715,-0.6413818,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,388.647026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3171388500000002,-5.53588865,-0.6850585499999999,-0.64061275,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,388.455026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3168947000000003,-5.53564455,-0.6784667499999999,-0.6416381999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,388.263026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3171388500000003,-5.534179849999999,-0.68041995,-0.6416381,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,388.071026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,0.0,0.0,0.3168947000000003,-5.533691599999999,-0.6889647999999999,-0.6413817999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,387.879026,19200.0,0.0,0.0,-9.599999999998944,0.0,0.0,7.105427357601002e-11,0.0,0.3151856500000003,-5.53442395,-0.6889647999999999,-0.64035645,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,387.687026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,-7.105427357601002e-11,0.0,0.3134766000000003,-5.53540035,-0.68627935,-0.6388183000000001,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,387.495026,19200.0,0.0,0.0,-9.600000000001785,0.0,0.0,-7.105427357601002e-11,0.0,0.3134766000000003,-5.5354004,-0.6904296499999999,-0.6375365499999999,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,387.303026,19200.0,0.0,0.0,-9.599999999998944,0.0,0.0,1.4210854715202004e-10,0.0,0.3139649000000003,-5.53515625,-0.69702135,-0.6385619499999999,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,387.111026,19200.0,0.0,0.0,-9.599999999998944,0.0,0.0,0.0,0.0,0.3156739500000003,-5.535156300000001,-0.6967772,-0.6380493,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,386.919026,19200.0,0.0,0.0,-9.600000000000364,0.0,0.0,-7.105427357601002e-11,0.0,0.3173830000000004,-5.5351564,-0.69531235,-0.6393310000000001,0.0,0.0,0.0,0.0,0.0,,
-53.648025,209.482,386.7320410000001,19200.0,0.0,0.0,-9.34924999999822,0.0,0.0,12.537500000107116,0.0,0.3166505500000003,-5.5346681,-0.4116210499999999,-0.6393310000000001,0.0,0.0,0.0,0.0,0.0,,
-53.64700415,209.482,386.59944730000007,19200.0,0.051042499999987,0.0,-6.629685000000052,2.55212499999935,0.0,135.9782499999085,0.0,0.2529298000000003,-5.53442395,0.1616210500000001,-0.6406128,0.0,0.0,0.0,0.0,0.0,,
