pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_AL_2007_T4_Plate_Normal_3,Random_Forest_AL_2007_T4_Plate_Normal_3
-1.148045,171.14165165,392.77999,22800.0,0.0,-5.833335000000517,0.0,0.0,-0.0001250000281061,0.0,0.0,0.3273926500000002,-4.885742200000001,-0.3940431,-0.60472405,0.0,0.0,0.0,0.0,0.0,,
-1.148045,171.02498500000002,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,0.000125000028106,0.0,0.0,0.3276367500000001,-4.84790035,-0.39477555,-0.58780505,0.0,0.0,0.0,0.0,0.0,,
-1.148045,170.90831835,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,0.0,0.0,0.0,0.3269043000000001,-4.83642575,-0.39477555,-0.5824218,0.0,0.0,0.0,0.0,0.0,,
-1.148045,170.79165165,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999925789,0.0,0.0,0.3269042500000001,-4.866699199999999,-0.3952638499999999,-0.5988281500000001,0.0,0.0,0.0,0.0,0.0,,
-1.148045,170.674985,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,0.0001249999925789,0.0,0.0,0.3256835500000001,-4.8562011,-0.3955079999999999,-0.6124146,0.0,0.0,0.0,0.0,0.0,,
-1.148045,170.55831834999998,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,-3.552714998816646e-11,0.0,0.0,0.3249511500000001,-4.86645495,-0.39477555,-0.6098511,0.0,0.0,0.0,0.0,0.0,,
-1.148045,170.44165164999998,392.77999,22800.0,0.0,-5.833335000000517,0.0,0.0,-0.0001249999925789,0.0,0.0,0.3251953000000001,-4.8925781,-0.3950197,-0.6039551,0.0,0.0,0.0,0.0,0.0,,
-1.148045,170.324985,392.77999,22800.0,0.0,-5.833332499999244,0.0,0.0,0.0001250000636332,0.0,0.0,0.3254394500000001,-4.863525449999999,-0.39575215,-0.60549315,0.0,0.0,0.0,0.0,0.0,,
-1.148045,170.20831835,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,-3.5527150015271514e-11,0.0,0.0,0.3261719,-4.843749949999999,-0.3955079999999999,-0.5957518500000001,0.0,0.0,0.0,0.0,0.0,,
-1.148045,170.09165165000002,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999925789,0.0,0.0,0.3261718500000001,-4.83789065,-0.39526385,-0.5821654,0.0,0.0,0.0,0.0,0.0,,
-1.148045,169.974985,392.77999,22800.0,0.0,-5.833332499999244,0.0,0.0,0.000125000028106,0.0,0.0,0.3261718000000001,-4.848876950000001,-0.39526385,-0.5885742,0.0,0.0,0.0,0.0,0.0,,
-1.148045,169.85831835,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,-7.105430000343797e-11,0.0,0.0,0.3259277500000001,-4.8820799500000005,-0.3955079999999999,-0.6054932500000001,0.0,0.0,0.0,0.0,0.0,,
-1.148045,169.74165165,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999570518,0.0,0.0,0.3251953000000001,-4.9057616500000005,-0.3959963,-0.61344005,0.0,0.0,0.0,0.0,0.0,,
-1.148045,169.624985,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,0.0001249999925789,0.0,0.0,0.3247070000000001,-4.89892585,-0.3955079999999999,-0.60780035,0.0,0.0,0.0,0.0,0.0,,
-1.148045,169.50831835,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,-3.552710000644631e-11,0.0,0.0,0.3261719000000002,-4.84545905,-0.3955079999999999,-0.6078003,0.0,0.0,0.0,0.0,0.0,,
-1.148045,169.39165165000003,392.77999,22800.0,0.0,-5.833334999999096,0.0,0.0,-0.0001249999215246,0.0,0.0,0.3264160000000001,-4.83813475,-0.39575215,-0.60472405,0.0,0.0,0.0,0.0,0.0,,
-1.148045,169.27498500000002,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,0.0001249999570518,0.0,0.0,0.3261718500000001,-4.8139649,-0.3959963,-0.58524165,0.0,0.0,0.0,0.0,0.0,,
-1.148045,169.15831835,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,-3.552710000644631e-11,0.0,0.0,0.3249512000000001,-4.80517585,-0.3959963,-0.57908935,0.0,0.0,0.0,0.0,0.0,,
-1.148045,169.04165165,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999570518,0.0,0.0,0.3242187500000001,-4.9001465,-0.3959963,-0.5957519499999999,0.0,0.0,0.0,0.0,0.0,,
-1.148045,168.924985,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,0.0001249999570518,0.0,0.0,0.3237305000000001,-4.9033203,-0.39624045,-0.6108765,0.0,0.0,0.0,0.0,0.0,,
