pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_AL_2007_T4_Gear_Normal_3,Random_Forest_AL_2007_T4_Gear_Normal_3
-53.648016,209.482,396.59636735,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,-7.105430000343797e-11,0.0,0.31030275,-5.5366211,-0.6679687999999999,-0.60164795,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,396.47970065,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,-0.0001250000281061,0.0,0.30834975,-5.5373535,-0.6726073999999999,-0.59959725,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,396.363034,22800.0,0.0,0.0,-5.833332500002086,0.0,0.0,0.0001249998859975,0.0,0.3085939,-5.5397949,-0.6555175499999999,-0.6124145999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,396.24636735,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,7.105430000343797e-11,0.0,0.3100585999999999,-5.53857425,-0.6520995499999999,-0.6213867,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,396.12970065,22800.0,0.0,0.0,-5.833334999998385,0.0,0.0,-0.0001249998859975,0.0,0.3107909499999999,-5.5373536,-0.6599119499999998,-0.6047241,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,396.013034,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,0.0001249998859975,0.0,0.31030265,-5.5395509,-0.6713866499999999,-0.5842163,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,395.89636735,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,0.0,0.0,0.31103505,-5.54101565,-0.6645506999999999,-0.5903685999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,395.77970065,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999570518,0.0,0.3098144499999999,-5.53881835,-0.6652830999999999,-0.6042113499999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,395.663034,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,0.0001249999570518,0.0,0.3085937999999999,-5.538085949999999,-0.6696776999999998,-0.6019043,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,395.54636735,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,7.105424999461277e-11,0.0,0.3088379499999999,-5.5405274,-0.6601560999999998,-0.6060059,0.0,0.0,0.0,0.0,0.0,,
