,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
10,0.2,-23.32411539565417,241.22955670075712,603.5746894311586,230.7671015754217,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-5.194125895088581e-05,-1.0844955454649574e-09,-7.088952635334591e-05,0.0,-3.4001120395224487e-06,-3.330919860565763e-06,1.9812860120965385e-06,0.0,0.0014849662378635,-0.1242597292054517,0.0005044438004708,-0.124835412836012,-0.0013741523658909,0.1118174533465759,-0.0003925582556972,-0.014597971366349,0.002,0.0100024965353948,0.0100955259599977,-0.0003549342193123,0.2920815673453216,-5.4980547566238025,0.4989847305203099,0.0,0.0,0.0,0.0,0.0,0.0
11,0.22,-23.324113036448622,241.22955661810445,603.5746907131286,230.7671034569904,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-6.103039109036467e-05,6.974563993477659e-05,-5.740462050819486e-05,0.0,-5.55071477722191e-06,-3.050481771976146e-06,5.123795758314608e-07,0.0,0.00143428925789,-0.4881444546721283,0.0010045153378692,-0.1250243616329909,-0.0009313959217459,-0.3612121765072557,0.0003128579201073,-17.22158525337061,0.002,0.0100113987766456,0.0101690606003687,-0.0003173971918746,0.2920536038743752,-5.498050481159789,0.498017201956176,0.0,0.0,0.0,0.0,0.0,0.0
12,0.24,-23.324114675247785,241.22955654855795,603.5746944346512,230.7668149698307,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.000126504445499,7.697895035281295e-05,-0.0001163883350949,0.0,-3.511156806013481e-06,-2.96613285920777e-06,-3.424323646218439e-06,0.0,0.0020008108711879,-0.0008970165393107,-0.0004487443688119,0.112819082131612,0.0004903007119928,-0.3490152154313716,0.0352528144103686,0.0006057524676947,0.002,0.0100076775484403,0.0097723697943657,-0.000694955192624,0.2920267669842045,-5.498015883067341,0.4990776766570504,0.0,0.0,0.0,0.0,0.0,0.0
13,0.2600000000000001,-23.32411882788365,241.22955639613528,603.5746891159612,230.7669389364055,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.469309427619236e-05,-4.575966969827466e-05,-5.361544105938881e-05,0.0,3.571075150195857e-08,-3.194528877941907e-06,2.2745894396959563e-06,0.0,0.0010123271023272,0.1248680633752938,-0.0009564598758285,0.2504270696112001,-0.0004625686175456,-0.1256638919053424,-0.0341258662044316,-8.526121618114189,0.002,0.0101187675926799,0.0102312073896922,-0.00041393669037,0.2930137370912148,-5.496954786008122,0.498150505112022,0.0,0.0,0.0,0.0,0.0,0.0
14,0.2800000000000001,-23.32411904140171,241.2295603856584,603.5746932109917,230.76667254998588,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001411387989497,-0.0002442560543111,-0.0001889228867025,0.0,4.536747632393052e-07,-7.374564858313354e-06,-1.8173524212649767e-06,0.0,6.411277997026048e-06,0.1256681958944185,-0.0004606175177893,-0.2251416983971704,0.0009527190290406,-0.2629730703801196,-0.0353792569051167,17.224485233505625,0.002,0.0099978585231568,0.0097468462254996,-0.0009532024016744,0.2910916111520963,-5.497895050226781,0.5000863873136647,0.0,0.0,0.0,0.0,0.0,0.0
15,0.3000000000000001,-23.32412303994733,241.2295547123083,603.5746927303368,230.7666979009773,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0002129034992588,-5.5221079187710126e-05,-5.682372707812263e-05,0.0,4.264123389909799e-06,-1.7076029873383525e-06,-1.7310009452344256e-06,0.0,-5.850993182179104e-06,0.2379544428211133,-4.935487616379437e-05,0.1241146259869262,2.6303831663248773e-06,-0.4747029084258026,-0.001213678167777,-8.623712205273886,0.002,0.0100756779440178,0.0103085419405474,-0.0006484982648867,0.2900797930952187,-5.498023797442788,0.5010228601016962,0.0,0.0,0.0,0.0,0.0,0.0
16,0.32,-23.32412087768365,241.22955654641788,603.5746873362798,230.766985106917,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001389600392259,-5.744333134999937e-05,-5.441209693592664e-05,0.0,2.0998379759204538e-06,-3.364822646621811e-06,4.254079462820017e-06,0.0,-0.0005088220976088,0.3749889440887895,-0.001487089963825,0.0123998607445316,0.0009487185311237,-0.0125892174290421,0.000140503867773,-0.0817316715480039,0.002,0.0101393372229863,0.0100070438181834,-0.001004681191048,0.2919199598212844,-5.497228925386305,0.4980417880033529,0.0,0.0,0.0,0.0,0.0,0.0
17,0.3400000000000001,-23.32411873145137,241.22955254872903,603.5746835013344,230.7666941250286,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.213261290408799e-05,0.0001386557196709,1.162125733191199e-05,0.0,-5.8399653149965945e-08,8.152525169559146e-07,8.29327810298746e-06,0.0,-0.0004554679022417,0.3622593783270321,-4.638390442495439e-05,0.725874146026304,0.0009553819380212,-0.012750069372076,-0.033130393829477,-8.596375762018706,0.002,0.0099730590323916,0.0102586740303058,-0.0006966546545299,0.2908649313563846,-5.496232237871421,0.5009212810134454,0.0,0.0,0.0,0.0,0.0,0.0
18,0.36,-23.3241206890589,241.2295564301517,603.5746852079147,230.76694921623945,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001277604270377,-5.747627221265517e-05,7.34952404942381e-06,0.0,1.89717259509912e-06,-3.260243151269716e-06,6.41109763560732e-06,0.0,-0.0019986615458106,-0.1254252521517565,-0.0009601527073805,0.01289398429716,-0.0004494956708323,0.2382340608342238,0.0004571342085776,-17.101102682101384,0.002,0.0101127303653781,0.0102111260499343,-0.000618882567215,0.2898917023364579,-5.495064031655303,0.4989433606515724,0.0,0.0,0.0,0.0,0.0,0.0
19,0.3800000000000001,-23.3241168112559,241.2295568712987,603.5746927473701,230.76695487889623,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.46788164039219e-05,-1.0270046342657635e-06,-6.632123257259109e-05,0.0,-1.778928292725664e-06,-3.487317002639206e-06,-1.718928193804655e-06,0.0,-0.0009393254427265,-0.0129821226757274,-0.0009624222532142,-0.0125619425246473,-0.0005127959966628,-0.4622617313865161,-0.0352605833200784,8.629137257632037,0.002,0.0099475273465456,0.0098701895845011,-0.0005479034872172,0.290887015039387,-5.49403190664935,0.4999202953443872,0.0,0.0,0.0,0.0,0.0,0.0
