Material;k_c1;k_f1;k_p1;m_f;m_p;m_c;machine_coef_x;machine_coef_y;machine_coef_z
S235JR/E295;1780;351;274;0.7019;0.4911;0.17;0.77;0.77;0.69
ALMg4SiMn;487;200;320;1.08;0.75;0.2;1.314;1.314;1.2
