material;kc1.1_min;m_c_min;kf1.1_min;m_f_min;kp1.1_min;m_p_min;K_min;kc1.1_max;m_c_max;kf1.1_max;m_f_max;kp1.1_max;m_p_max;K_max
S235JR;1780;0.17;139.6078431;0.351333333;125.6470588;0.221;1;1780;0.17;731.0061602;0.918;1169.609856;0.6375;2.03
AL2007T4;487;0.2;38.19607843;0.413333333;34.37647059;0.26;1;510;0.28;209.4455852;1.512;335.1129363;1.05;2
