pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net,Recurrent_Neural_Net,Neural_Net.1,Recurrent_Neural_Net.1,Sequential_Neural_Net,LSTM,GRU,y_ground_truth.1
-1.148025,167.847592,392.54599,19200.0,0.0,-9.59999999999989,0.0,0.0,0.0,0.0,0.0,0.3391927333333329,-4.833170566666666,-0.4677733999999999,-0.6345458,0.0,0.0,0.0,0.0,0.0,0.3391927333333329,0.32032206654548645,-0.19626088440418243,0.25947535,0.25947535,-0.22145572304725647,-0.2304530143737793,-0.1953195035457611,0.3391927333333329
-1.148025,167.75159200000002,392.54599,19200.0,0.0,-9.600000000000009,0.0,0.0,0.0,0.0,0.0,0.3378905999999996,-4.84985355,-0.4676513249999999,-0.633434975,0.0,0.0,0.0,0.0,0.0,0.3378905999999996,0.32032206654548645,0.17285749316215515,0.25947535,0.25947535,0.11553851515054703,0.12271897494792938,0.17205926775932312,0.3378905999999996
-1.148025,167.655592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,0.0,0.0,0.0,0.3374999599999996,-4.84531252,-0.4676757399999999,-0.63481928,0.0,0.0,0.0,0.0,0.0,0.3374999599999996,0.32032206654548645,0.29812660813331604,0.25947535,0.25947535,0.2424304485321045,0.26867344975471497,0.30471357703208923,0.3374999599999996
-1.148025,167.559592,392.54599,19200.0,0.0,-9.600000000000128,0.0,0.0,0.0,0.0,0.0,0.3369953833333329,-4.842122416666666,-0.4677734,-0.6350585166666667,0.0,0.0,0.0,0.0,0.0,0.33699538333333295,0.32032206654548645,0.32598876953125,0.25947535,0.25947535,0.2837969660758972,0.27966463565826416,0.3373313844203949,0.3369953833333329
-1.148025,167.463592,392.54599,19200.0,0.0,-9.599999999999955,0.0,0.0,1.0150610510858576e-11,0.0,0.0,0.3360071571428567,-4.840332071428572,-0.4675641285714285,-0.6359618571428571,0.0,0.0,0.0,0.0,0.0,0.3360071571428567,0.32032206654548645,0.33939120173454285,0.25947535,0.25947535,0.30905666947364807,0.3029746413230896,0.33111709356307983,0.3360071571428567
-1.148025,167.367592,392.54599,19200.0,0.0,-9.600000000000186,0.0,0.0,-8.881784197001252e-12,0.0,0.0,0.3352659874999996,-4.8372192625,-0.4675292499999999,-0.6361907375,0.0,0.0,0.0,0.0,0.0,0.3352659874999996,0.32032206654548645,0.35120922327041626,0.25947535,0.25947535,0.32192495465278625,0.32028111815452576,0.33071643114089966,0.3352659874999996
-1.148025,167.271592,392.54599,19200.0,0.0,-9.600000000000048,0.0,0.0,7.894919286223335e-12,0.0,0.0,0.3343639999999996,-4.830783444444445,-0.4671765888888888,-0.6364257222222222,0.0,0.0,0.0,0.0,0.0,0.3343639999999996,0.32032206654548645,0.35939595103263855,0.25947535,0.25947535,0.3321065902709961,0.33537107706069946,0.33729037642478943,0.3343639999999996
-1.148025,167.175592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,0.0,0.0,0.0,0.3333982999999996,-4.83002932,-0.46684563,-0.63599848,0.0,0.0,0.0,0.0,0.0,0.3333982999999996,0.32032206654548645,0.36569371819496155,0.25947535,0.25947535,0.34275147318840027,0.3466494381427765,0.34452274441719055,0.3333982999999996
-1.148025,166.983592,392.54599,19200.0,0.0,-9.599999999999936,0.0,0.0,7.105427357601002e-12,0.0,0.0,0.3318845899999996,-4.82827152,-0.4662596699999999,-0.63589593,0.0,0.0,0.0,0.0,0.0,0.3318845899999996,0.32032206654548645,0.3706980347633362,0.25947535,0.25947535,0.35136523842811584,0.35520312190055847,0.35125085711479187,0.3318845899999996
-1.148025,166.791592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,-7.105427357601002e-12,0.0,0.0,0.3302732899999995,-4.82456059,-0.4655760499999999,-0.63645991,0.0,0.0,0.0,0.0,0.0,0.33027328999999955,0.32032206654548645,0.3744776248931885,0.25947535,0.25947535,0.35834136605262756,0.36211177706718445,0.3572802245616913,0.3302732899999995
-1.148025,166.599592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,0.0,0.0,0.0,0.3286619999999995,-4.82275394,-0.4646483,-0.63589596,0.0,0.0,0.0,0.0,0.0,0.32866199999999957,0.32032206654548645,0.37757641077041626,0.25947535,0.25947535,0.36402803659439087,0.36767107248306274,0.3624710142612457,0.3286619999999995
-1.148025,166.407592,392.54599,19200.0,0.0,-9.60000000000008,0.0,0.0,0.0,0.0,0.0,0.3270018799999995,-4.81440433,-0.46362291,-0.636665,0.0,0.0,0.0,0.0,0.0,0.3270018799999995,0.32032206654548645,0.3801121711730957,0.25947535,0.25947535,0.3686244487762451,0.37218934297561646,0.3667474389076233,0.3270018799999995
-1.148025,166.215592,392.54599,19200.0,0.0,-9.59999999999994,0.0,0.0,7.105427357601002e-12,0.0,0.0,0.3252929299999995,-4.81704105,-0.4623534099999999,-0.63604976,0.0,0.0,0.0,0.0,0.0,0.32529292999999954,0.32032206654548645,0.38220295310020447,0.25947535,0.25947535,0.37235528230667114,0.3759108781814575,0.37015342712402344,0.3252929299999995
-1.148025,166.023592,392.54599,19200.0,0.0,-9.59999999999994,0.0,0.0,0.0,0.0,0.0,0.3235839799999995,-4.8193848,-0.4608885999999999,-0.63563962,0.0,0.0,0.0,0.0,0.0,0.32358397999999955,0.32032206654548645,0.38390329480171204,0.25947535,0.25947535,0.37537848949432373,0.37898799777030945,0.3728589713573456,0.3235839799999995
-1.148025,165.831592,392.54599,19200.0,0.0,-9.59999999999994,0.0,0.0,0.0,0.0,0.0,0.3221191799999995,-4.81855469,-0.45917965,-0.63487057,0.0,0.0,0.0,0.0,0.0,0.32211917999999956,0.3204854428768158,0.38448023796081543,0.25964892,0.25964892,0.37678062915802,0.3807505667209625,0.3739001750946045,0.3221191799999995
-1.148025,165.639592,392.54599,19200.0,0.0,-9.59999999999994,0.0,0.0,0.0,0.0,0.0,0.3205078899999996,-4.81796874,-0.4574218699999999,-0.63487056,0.0,0.0,0.0,0.0,0.0,0.3205078899999996,0.32277095317840576,0.3701865077018738,0.26300886,0.26300886,0.35909324884414673,0.36766985058784485,0.35540199279785156,0.3205078899999996
-1.148025,165.448136,392.54599,19200.0,0.0,-9.572799999999974,0.0,0.0,1.3599999999982515,0.0,0.0,0.3188477599999996,-4.86000974,-0.4558594099999999,-0.63425533,0.0,0.0,0.0,0.0,0.0,0.3188477599999996,0.3183864653110504,0.35106879472732544,0.2673747,0.2673747,0.34136509895324707,0.348917692899704,0.3422524333000183,0.3188477599999996
-1.148025,165.26723399,392.54599,19200.0,0.0,-9.045100499999991,0.0,0.0,26.384974999999145,0.0,0.0,0.3176758799999996,-5.0167968400000005,-0.45429695,-0.63497311,0.0,0.0,0.0,0.0,0.0,0.3176758799999996,0.3117220401763916,0.34976908564567566,0.25966564,0.25966564,0.34446173906326294,0.34039878845214844,0.34908610582351685,0.3176758799999996
-1.148025,165.10527579,392.54599,19200.0,0.0,-8.097910000000041,0.0,0.0,47.35952499999741,0.0,0.0,0.3166505299999996,-5.01494138,-0.452588,-0.63512692,0.0,0.0,0.0,0.0,0.0,0.3166505299999996,0.30801934003829956,0.34649747610092163,0.24059671,0.24059671,0.3476927876472473,0.3335304260253906,0.3521040081977844,0.3166505299999996
