pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net,Recurrent_Neural_Net,GRU,y_ground_truth.1,Neural_Net.1,Recurrent_Neural_Net.1,Sequential_Neural_Net,LSTM,GRU.1,y_ground_truth.2
-53.648016,209.482,399.3380340000001,22800.0,0.0,0.0,-5.833333333333712,0.0,0.0,-4.7369499996408514e-11,0.0,0.3136393,-5.536458366666667,-0.6689452999999999,-0.5942138333333333,0.0,0.0,0.0,0.0,0.0,0.3136393,0.24466022849082947,-0.2167665958404541,-0.18980534374713898,0.3136393,0.26509038,0.26509038,-0.27524739503860474,-0.22316356003284454,0.26509038,0.3136393
-53.648016,209.482,399.279700675,22800.0,0.0,0.0,-5.833332499999955,0.0,0.0,6.2499978525925e-05,0.0,0.313232425,-5.536376975,-0.6696776999999998,-0.5949829,0.0,0.0,0.0,0.0,0.0,0.313232425,0.24466022849082947,0.13375811278820038,0.16453441977500916,0.313232425,0.26509035,0.26509035,0.11743633449077606,0.2092629224061966,0.26509035,0.313232425
-53.648016,209.482,399.22136734,22800.0,0.0,0.0,-5.8333330000004935,0.0,0.0,-5.684339999569021e-11,0.0,0.3126953,-5.536816419999999,-0.6723632599999998,-0.59872558,0.0,0.0,0.0,0.0,0.0,0.3126953,0.2446601837873459,0.21173934638500214,0.2517510950565338,0.3126953,0.26509038,0.26509038,0.2296898066997528,0.2979133129119873,0.26509038,0.3126953
-53.648016,209.482,399.163034,22800.0,0.0,0.0,-5.833333333333239,0.0,0.0,1.5720931501039814e-17,0.0,0.3132324,-5.536865233333333,-0.6752115666666665,-0.6036132833333333,0.0,0.0,0.0,0.0,0.0,0.3132324,0.24466022849082947,0.223598912358284,0.2655869126319885,0.3132324,0.26509032,0.26509032,0.2307562381029129,0.28821948170661926,0.26509032,0.3132324
-53.648016,209.482,399.1047006714285,22800.0,0.0,0.0,-5.833332857142993,0.0,0.0,3.571425314217062e-05,0.0,0.3129184857142857,-5.536342071428571,-0.6731305714285712,-0.6038085999999999,0.0,0.0,0.0,0.0,0.0,0.31291848571428577,0.24466021358966827,0.2324819564819336,0.26235827803611755,0.3129184857142857,0.2650903,0.2650903,0.23172405362129211,0.27111154794692993,0.2650903,0.3129184857142857
-53.648016,209.482,399.0463673375,22800.0,0.0,0.0,-5.8333331250004505,0.0,0.0,-3.552712570881406e-11,0.0,0.3128051375,-5.5365600625,-0.6729125749999998,-0.6013916,0.0,0.0,0.0,0.0,0.0,0.3128051375,0.24466021358966827,0.24283115565776825,0.2513388395309448,0.3128051375,0.26509035,0.26509035,0.23605768382549286,0.26985689997673035,0.26509035,0.3128051375
-53.648016,209.482,398.988034,22800.0,0.0,0.0,-5.833333333333396,0.0,0.0,9.848169733409998e-18,0.0,0.3126627111111111,-5.537163633333333,-0.6717664666666665,-0.6003662000000001,0.0,0.0,0.0,0.0,0.0,0.3126627111111111,0.24466022849082947,0.24907009303569794,0.2424415647983551,0.3126627111111111,0.26509035,0.26509035,0.24378153681755066,0.271197646856308,0.26509035,0.3126627111111111
-53.648016,209.482,398.92970067,22800.0,0.0,0.0,-5.833332999999925,0.0,0.0,2.4999991410368865e-05,0.0,0.3124999599999999,-5.5373047,-0.6682128799999998,-0.6010327,0.0,0.0,0.0,0.0,0.0,0.31249995999999997,0.24466021358966827,0.2557847797870636,0.23746970295906067,0.3124999599999999,0.2650903,0.2650903,0.2506840229034424,0.27199435234069824,0.2650903,0.3124999599999999
-53.648016,209.482,398.813034,22800.0,0.0,0.0,-5.8333335000000375,0.0,0.0,-2.5000005621211136e-05,0.0,0.31206053,-5.53701172,-0.6673827899999998,-0.60303222,0.0,0.0,0.0,0.0,0.0,0.31206053,0.24466021358966827,0.2606427073478699,0.2331763058900833,0.31206053,0.26509035,0.26509035,0.25640153884887695,0.27287325263023376,0.26509035,0.31206053
-53.648016,209.482,398.69636733,22800.0,0.0,0.0,-5.833333499999753,0.0,0.0,1.4210858293069171e-11,0.0,0.31142578,-5.537255849999999,-0.6647460699999999,-0.60308351,0.0,0.0,0.0,0.0,0.0,0.31142578,0.24466021358966827,0.26486608386039734,0.23062129318714142,0.31142578,0.26509035,0.26509035,0.261138379573822,0.27380961179733276,0.26509035,0.31142578
