pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_AL_2007_T4_Gear_Normal_3,PiNN_Erd_AL_2007_T4_Gear_Normal_3,Physical_Model_AL_2007_T4_Gear_Normal_3
-53.648016,209.482,399.4547007,22800.0,0.0,0.0,-5.833330000001524,0.0,0.0,0.0002499997719951,0.0,0.3129882,-5.5390626,-0.6733399999999998,-0.578833,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,399.338034,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,-0.0002499999141036,0.0,0.3154297,-5.536132799999999,-0.6816404999999998,-0.6019042,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,399.2213673,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,0.0,0.0,0.3125,-5.5341797,-0.6518553999999999,-0.6019043,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,399.1047007,22800.0,0.0,0.0,-5.833329999998682,0.0,0.0,0.0002500000562122,0.0,0.3120118,-5.536132799999999,-0.6718748999999998,-0.5972901,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,398.988034,22800.0,0.0,0.0,-5.8333350000026485,0.0,0.0,-0.0002500001983207,0.0,0.3105468,-5.5385742,-0.6831054999999998,-0.6136963,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,398.8713673,22800.0,0.0,0.0,-5.833334999996964,0.0,0.0,2.842170943040401e-10,0.0,0.3159179,-5.5371093,-0.6894530999999999,-0.6280517999999999,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,398.7547007,22800.0,0.0,0.0,-5.833330000001524,0.0,0.0,0.0002499997719951,0.0,0.311035,-5.5332031,-0.6606445999999998,-0.6049805,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,398.638034,22800.0,0.0,0.0,-5.8333350000026485,0.0,0.0,-0.0002500000562122,0.0,0.3120117,-5.538086,-0.6713865999999998,-0.5844726,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,398.5213673,22800.0,0.0,0.0,-5.833334999996964,0.0,0.0,2.842170943040401e-10,0.0,0.3115233,-5.5419922,-0.6625975999999998,-0.592163,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,398.4047007,22800.0,0.0,0.0,-5.833329999998682,0.0,0.0,0.0002499999141036,0.0,0.3110351999999999,-5.5385743,-0.6362305999999999,-0.6070312,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,398.288034,22800.0,0.0,0.0,-5.8333350000026485,0.0,0.0,-0.0002500001983207,0.0,0.3085939,-5.5361328,-0.6650390999999998,-0.5988282,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,398.1713673,22800.0,0.0,0.0,-5.833334999996964,0.0,0.0,2.842170943040401e-10,0.0,0.3090822,-5.5385741,-0.6552733,-0.6024171,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,398.0547007,22800.0,0.0,0.0,-5.833330000001524,0.0,0.0,0.0002499997719951,0.0,0.3125,-5.5400391,-0.6435546999999998,-0.6244628999999999,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,397.938034,22800.0,0.0,0.0,-5.8333350000026485,0.0,0.0,-0.0002500000562122,0.0,0.3090821,-5.5366211,-0.6464841999999998,-0.6177979,0.0,0.0,0.0,0.0,0.0,,,
-53.648016,209.482,397.8213673,22800.0,0.0,0.0,-5.833334999996964,0.0,0.0,2.842170943040401e-10,0.0,0.3115233,-5.5356445,-0.6333007999999999,-0.5895996,0.0,0.0,0.0,0.0,0.0,,,
