File,Range,a,b,Median |v_x|,Median |mrr|,Median |f_x_sim|
AL_2007_T4_Plate_Normal_1.csv,v_x > 0,0.0008545164103271826,0.5706103246833029,0.6271325000001937,367.28800000000047,198.9427813045031
AL_2007_T4_Plate_Normal_1.csv,v_x < 0,0.000894254283295036,-0.5251916002732714,0.6271325000001937,367.28800000000047,198.9427813045031
AL_2007_T4_Plate_Normal_1.csv,v_x == 0,0.00011190467930416772,0.02853870946191122,0.6271325000001937,367.28800000000047,198.9427813045031
AL_2007_T4_Gear_Normal_1.csv,v_x > 0,0.0007975690367489921,0.5769314534595616,4.375535000000141,380.9280000000144,137.34890109731384
AL_2007_T4_Gear_Normal_1.csv,v_x < 0,0.0006289193650285171,-0.5427463394008958,4.375535000000141,380.9280000000144,137.34890109731384
AL_2007_T4_Gear_Normal_1.csv,v_x == 0,-0.0010453066726796478,-0.35985278951564964,4.375535000000141,380.9280000000144,137.34890109731384
AL_2007_T4_Plate_SF_1.csv,v_x > 0,0.0009723919130269035,0.5850244573475827,0.9644750000001424,262.85599999997066,198.94905927470504
AL_2007_T4_Plate_SF_1.csv,v_x < 0,0.0010373176290771802,-0.5329401796664983,0.9644750000001424,262.85599999997066,198.94905927470504
AL_2007_T4_Plate_SF_1.csv,v_x == 0,0.00017434628172446876,0.06644639280081782,0.9644750000001424,262.85599999997066,198.94905927470504
AL_2007_T4_Gear_SF_1.csv,v_x > 0,0.0008943196885297372,0.5828785282321923,3.3710075000000117,254.2400000000198,139.63173621209634
AL_2007_T4_Gear_SF_1.csv,v_x < 0,0.0006590286368633036,-0.551507719891523,3.3710075000000117,254.2400000000198,139.63173621209634
AL_2007_T4_Gear_SF_1.csv,v_x == 0,-0.0015866158162292634,-0.34968624147231897,3.3710075000000117,254.2400000000198,139.63173621209634
AL_2007_T4_Plate_Depth_1.csv,v_x > 0,0.0011239109127921735,0.5690798962341647,1.1218275000000055,166.09600000001956,99.4713906522496
AL_2007_T4_Plate_Depth_1.csv,v_x < 0,0.0009981839855184443,-0.5427079305835196,1.1218275000000055,166.09600000001956,99.4713906522496
AL_2007_T4_Plate_Depth_1.csv,v_x == 0,-0.0005819828826949328,0.06407745245055854,1.1218275000000055,166.09600000001956,99.4713906522496
AL_2007_T4_Gear_Depth_1.csv,v_x > 0,0.0008318285293040101,0.5942263583747225,4.492427500000051,178.67999999999302,71.07359892859871
AL_2007_T4_Gear_Depth_1.csv,v_x < 0,-0.0005622599630425629,-0.5930105516919734,4.492427500000051,178.67999999999302,71.07359892859871
AL_2007_T4_Gear_Depth_1.csv,v_x == 0,-0.004280515548797218,-0.14645822480197537,4.492427500000051,178.67999999999302,71.07359892859871
AL_2007_T4_Plate_Depth_2.csv,v_x > 0,0.0010222459206888658,0.5634530834579657,0.5794099999999247,355.9200000000419,198.9427813045031
AL_2007_T4_Plate_Depth_2.csv,v_x < 0,0.0009248145427418871,-0.526223256353774,0.5794099999999247,355.9200000000419,198.9427813045031
AL_2007_T4_Plate_Depth_2.csv,v_x == 0,-6.184364631511841e-07,-0.02896149562420769,0.5794099999999247,355.9200000000419,198.9427813045031
AL_2007_T4_Gear_Depth_2.csv,v_x > 0,0.0008626429313378807,0.5820652704281295,4.397695000000013,357.12000000002445,141.28045582782514
AL_2007_T4_Gear_Depth_2.csv,v_x < 0,0.0007773587222496971,-0.5377865491197884,4.397695000000013,357.12000000002445,141.28045582782514
AL_2007_T4_Gear_Depth_2.csv,v_x == 0,-0.0016501513127894051,-0.32462579399054053,4.397695000000013,357.12000000002445,141.28045582782514
AL_2007_T4_Plate_Depth_3.csv,v_x > 0,0.0010488614078719748,0.7500059029666423,0.32834499999987443,711.8400000000256,397.8855626090062
AL_2007_T4_Plate_Depth_3.csv,v_x < 0,0.0014444640185982517,-0.580175028632725,0.32834499999987443,711.8400000000256,397.8855626090062
AL_2007_T4_Plate_Depth_3.csv,v_x == 0,0.000667194813436552,-0.09933970458377778,0.32834499999987443,711.8400000000256,397.8855626090062
AL_2007_T4_Gear_Depth_3.csv,v_x > 0,0.0009685584479577338,0.6277050391468791,4.263650000000014,713.2800000000279,246.16365552876152
AL_2007_T4_Gear_Depth_3.csv,v_x < 0,0.0012614054539705794,-1.1398475749485666,4.263650000000014,713.2800000000279,246.16365552876152
AL_2007_T4_Gear_Depth_3.csv,v_x == 0,-0.00030151572421871373,-0.3245027980984484,4.263650000000014,713.2800000000279,246.16365552876152
S235JR_Gear_Normal_1.csv,v_x > 0,0.001149147373168555,0.3887297059249343,7.193384999999974,587.0160000000033,463.62460622699774
S235JR_Gear_Normal_1.csv,v_x < 0,0.0006950654152441737,-0.5044765589856612,7.193384999999974,587.0160000000033,463.62460622699774
S235JR_Gear_Normal_1.csv,v_x == 0,-0.00035407227266637383,-0.37941540581020117,7.193384999999974,587.0160000000033,463.62460622699774
S235JR_Plate_Normal_1.csv,v_x > 0,0.0012243289828819627,0.3343137683026897,1.0726350000002327,613.1199999999953,506.1281032091794
S235JR_Plate_Normal_1.csv,v_x < 0,0.0012108651327362191,-0.2871033632215885,1.0726350000002327,613.1199999999953,506.1281032091794
S235JR_Plate_Normal_1.csv,v_x == 0,0.001116407876413225,0.05790404601625677,1.0726350000002327,613.1199999999953,506.1281032091794
S235JR_Plate_SF_1.csv,v_x > 0,0.0012470899799772602,0.34816870773078334,1.818395000000006,496.2639999999956,506.1281032091794
S235JR_Plate_SF_1.csv,v_x < 0,0.0012966135264973501,-0.25881082036033526,1.818395000000006,496.2639999999956,506.1281032091794
