Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,a_e,cut_angle,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,258.8500000174453,474.5000118510702,504.1600041095454,13.290805442162618,258.8500100000001,474.5000190000003,504.16001000000017,9.6,0.0002345981297913,0.0001144416703873,-7.888899068372752e-07,0.0,9.982554738277656e-06,7.749156927598045e-06,5.890454771476443e-06,0.0,0.0009552156176122,0.3627589215773891,0.0034059489466914,-0.9373774554179136,-2.548858359792414e-06,-0.0001719189404946,1.2896012578650362e-05,0.0093463228165745,0.002,0.0008437003222244,0.0037958133413264,0.0047268841821243,0.0,10.0,180.0,-0.2431591193883238,-5.658201428287585,0.3173886309121083,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,258.85000771078006,474.50001977990826,504.1600160883648,13.290933881268147,258.8500100000001,474.5000190000003,504.16001000000017,9.6,-4.794085329829702e-05,-0.0001655946074253,-0.0002481670941872,0.0,2.28922009419846e-06,-1.7519742768094913e-07,-6.088364725526756e-06,0.0,-0.0014329319735113,-0.0993917341142383,0.0005243722814439,-0.2496076985218243,-7.831975390568488e-06,-0.113490385367415,0.0686984623145234,17.190226494046932,0.002,0.0006158283597227,0.0033792280021089,0.0047076524763419,0.0,10.0,180.0,-0.2441225759461033,-5.65722373673538,0.3174168473341369,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,258.8500100886477,474.5000100816816,504.1600025944308,13.291205080006758,258.8500100000001,474.5000190000003,504.16001000000017,9.6,-9.49288141810812e-05,0.0001085589711609,0.0002065323652223,0.0,-8.86476144556957e-08,9.737157427761462e-06,7.405569283792306e-06,0.0,-0.0009467233660382,-0.1124909588612984,-0.0009318146565321,0.4633261812598709,-0.0004921337023434,0.1233773930522777,0.0344564804109017,-8.573096723426954,0.002,0.0008672462655737,0.0035458832469296,0.0049172350556871,0.0,10.0,180.0,-0.2441328545204721,-5.656264107387531,0.3184368111953515,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,258.85000994708565,474.5000193605139,504.1600159197488,13.291615623446358,258.8500100000001,474.5000190000003,504.16001000000017,9.6,-4.458084821544525e-05,-8.263642209586866e-05,-8.702592582970488e-05,0.0,5.291445058568514e-08,5.637622723238834e-08,-5.919748646786287e-06,0.0,-0.0014488944593249,-0.3510613674110288,0.0004944357528821,-0.5866450552381967,3.149526467610252e-05,-0.3630288768831774,-0.0340453915016244,-17.16157748249718,0.002,0.0008146301032753,0.0036095742668415,0.0048102140942664,0.0,10.0,180.0,-0.2441537463709628,-5.657246746144491,0.3184294690010637,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,258.85001561751994,474.5000192688273,504.1600112607992,13.291199820363516,258.8500100000001,474.5000190000003,504.16001000000017,9.6,-0.0002111734280803,8.100029136386151e-07,-7.693777897984653e-05,0.0,-5.617519852511052e-06,-8.276257734396267e-08,-1.260799028524393e-06,0.0,-0.0029269162144135,-0.7255781183639997,0.000939963706751,-0.3501230204397677,-2.4371732753946523e-05,0.0013332046240725,9.720377333417256e-05,17.179539069329522,0.002,0.0009453365491868,0.0037632349873369,0.0048283127525582,0.0,10.0,180.0,-0.2441588828884902,-5.657215834790807,0.3173731926686555,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,258.8500015230199,474.50001595751,504.160009245169,13.29120059630751,258.8500100000001,474.5000190000003,504.16001000000017,9.6,0.0002573582939157,-7.395910798412749e-05,1.3389771532557508e-05,0.0,8.476980225991667e-06,3.8027095729471993e-06,7.54831158254718e-07,0.0,-0.0004823291318938,-0.0110911372798032,-1.0080553493143664e-06,0.0999483921940666,-0.000502894216247,-0.0113372914752628,-0.0001941243098,0.0083802519253225,0.002,0.0007696793368229,0.0035007460378046,0.0045910140109554,0.0,10.0,180.0,-0.2431757099166086,-5.658174001165875,0.3173049893532648,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,258.85000729443664,474.5000214152767,504.16001122974046,13.291341806644828,258.8500100000001,474.5000190000003,504.16001000000017,9.6,-6.123822813758585e-05,-7.484040927166516e-05,-7.7788952931998e-05,0.0,2.705563516618884e-06,-2.254504909751173e-06,-1.229740249456088e-06,0.0,-0.0024130670604523,0.1261780573131838,4.329943576270468e-05,-0.2244037925376585,0.0009405599946948,-0.0129350348174826,0.0341446767598781,-17.15967795749087,0.002,0.0007636997482827,0.0036140201670081,0.0047789445072081,0.0,10.0,180.0,-0.2431718045019723,-5.658245721970863,0.3182928673166946,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,258.8500116776517,474.50002004028863,504.16001310369,13.29093237680398,258.8500100000001,474.5000190000003,504.16001000000017,9.6,-7.335984037438643e-05,-0.000163951421657,-0.0001596615292248,0.0,-1.677651586556128e-06,-4.674888258236224e-07,-3.1036897225039217e-06,0.0,-1.969682027488347e-05,-0.0003531637702176,0.0009369621568886,-0.2626964859128967,-0.0009486406882227,0.0122297207102176,-0.0001271645656787,17.160883904311092,0.002,0.0010165860796905,0.0036457211195607,0.0047178262214286,0.0,10.0,180.0,-0.2431670847506193,-5.656391224085494,0.317364271420677,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,258.85001017065633,474.5000121973417,504.1600015046987,13.290800143799247,258.8500100000001,474.5000190000003,504.16001000000017,9.6,-1.920317865323884e-06,0.0002195028360113,0.0002353921798972,0.0,-1.706562266466721e-07,6.983407196398616e-06,8.495301434090129e-06,0.0,-9.715994446592672e-06,-0.1253423985238959,-0.0005002392491791,0.3741319599727207,0.0004947351406896,0.0007987237091269,-0.0689679443107953,8.580400117590724,0.002,0.0007236442006987,0.0036904808230293,0.0047701845450145,0.0,10.0,180.0,-0.2431727356873089,-5.659327991815752,0.317381599646695,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,258.8500083025596,474.5000102408043,504.1600155539726,13.291354904213174,258.8500100000001,474.5000190000003,504.16001000000017,9.6,-2.357433183439956e-06,0.0002094098690309,-7.837998338216945e-05,0.0,1.6974405097896786e-06,9.14358953737561e-06,-5.553972454484271e-06,0.0,-0.0005036182169331,-0.0127547541622118,0.0019130303096567,0.3623851396817253,0.0004823412591823,-0.6122624126790007,0.0341895558106049,-17.178094444341788,0.002,0.0008207767091182,0.0034248156215664,0.0046858144579142,0.0,10.0,180.0,-0.2422377352610424,-5.658278535878401,0.3193322917622801,0.0,0.0,0.0,0.0,0.0,0.0
