pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_Old,Neural_Net_New,Random_Forest_Old,Random_Forest_New
-1.148045,173.76665166666666,392.77999,22800.0,0.0,-5.833333333333712,0.0,0.0,-4.7369515717340015e-11,0.0,0.0,0.3292644,-4.830403633333333,-0.3833005,-0.5967773,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899597,0.2170052284093925,0.11269123084292458
-1.148045,173.708318325,392.77999,22800.0,0.0,-5.833333750000236,0.0,0.0,-1.7763568394002505e-11,0.0,0.0,0.3298340250000001,-4.822753875,-0.3836667249999999,-0.592163025,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899582,0.2170052284093925,0.11269123084292458
-1.148045,173.649985,392.77999,22800.0,0.0,-5.833332999999925,0.0,0.0,4.999999703158528e-05,0.0,0.0,0.3297851800000001,-4.833007759999999,-0.3840817799999999,-0.5925732,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899593,0.2170052284093925,0.11269123084292458
-1.148045,173.59165166666665,392.77999,22800.0,0.0,-5.833333333333475,0.0,0.0,-2.3684762267758838e-11,0.0,0.0,0.3300781500000001,-4.844807883333333,-0.3843584833333333,-0.5963500833333333,0.0,0.0,0.0,0.0,0.0,0.2584041,0.18899593,0.2170052284093925,0.11269123084292458
-1.148045,173.53331832857145,392.77999,22800.0,0.0,-5.833333571428666,0.0,0.0,-1.0150614290077575e-11,0.0,0.0,0.3298688857142858,-4.839215928571428,-0.3845561285714285,-0.5983886571428572,0.0,0.0,0.0,0.0,0.0,0.25840405,0.18899588,0.2170052284093925,0.11269123084292458
-1.148045,173.474985,392.77999,22800.0,0.0,-5.833333124999918,0.0,0.0,3.1249998144737495e-05,0.0,0.0,0.3297729875000001,-4.8378906125,-0.3848264374999999,-0.599020375,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899593,0.2170052284093925,0.11269123084292458
-1.148045,173.41665166666667,392.77999,22800.0,0.0,-5.833333333333239,0.0,0.0,-7.894922225615893e-12,0.0,0.0,0.3296984000000001,-4.835720466666666,-0.3850909333333333,-0.6003662,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899593,0.2170052284093925,0.11269123084292458
-1.148045,173.35831833,392.77999,22800.0,0.0,-5.8333335000000375,0.0,0.0,-1.4210857360655304e-11,0.0,0.0,0.3297852100000001,-4.83383788,-0.3854490199999999,-0.6000585700000001,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899584,0.2170052284093925,0.11269123084292458
-1.148045,173.24165167,392.77999,22800.0,0.0,-5.833332999999925,0.0,0.0,2.5000005621217357e-05,0.0,0.0,0.3299316800000001,-4.832666000000001,-0.3861326399999999,-0.5972900099999999,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899588,0.2170052284093925,0.11269123084292458
-1.148045,173.124985,392.77999,22800.0,0.0,-5.8333335000000375,0.0,0.0,-2.500000562122265e-05,0.0,0.0,0.3295410400000001,-4.83984374,-0.3867674299999999,-0.59503415,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899591,0.2170052284093925,0.11269123084292458
-1.148045,173.00831833,392.77999,22800.0,0.0,-5.833333499999895,0.0,0.0,7.1054273521799905e-12,0.0,0.0,0.3296875100000001,-4.84565427,-0.3873045599999999,-0.5974951,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899588,0.2170052284093925,0.11269123084292458
-1.148045,172.89165167000002,392.77999,22800.0,0.0,-5.833332999999925,0.0,0.0,2.499999851579e-05,0.0,0.0,0.3290527500000001,-4.845849579999999,-0.3878416899999999,-0.60118652,0.0,0.0,0.0,0.0,0.0,0.25840408,0.18899591,0.2170052284093925,0.11269123084292458
