Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,a_p,a_e,phi,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.009,200.0,118.0999871,559.999991,9.74e-05,200.0,118.09999,559.99999,0.0,-5.87e-05,1.7999999999999994e-05,-0.0001392,0.0,-3.388131789017201e-22,2.9e-06,-1e-06,-9.74e-05,0.000750000000238,0.6250000001983835,-0.0002249999997872,0.6187500001253454,-0.0007499999981064,0.0624999998422026,0.03435,4.293749999999999,0.002,0.0,10.0,180.0,0.2260739,-5.214844,-0.258789,0.0,0.0,0.0,0.0,0.0,0.0
1,0.019,200.0000039,118.0999871,559.99999,0.0003035,200.0,118.09999,559.99999,0.0,-0.0002279999999999,-5.440000000000001e-05,0.0,0.0,-3.9e-06,2.9e-06,1.6940658945086008e-22,-0.0003035,-0.0005000000001587,-0.2437500000951331,0.0,0.1250000000396767,0.0004999999987376,-0.0624999998422026,0.017175,0.0,0.002,0.0,10.0,180.0,0.2265621999999999,-5.214844,-0.258789,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0389999999999999,199.999997,118.09998910000002,559.999989,0.0004409,200.0,118.09999,559.99999,0.0,7.81e-05,-8.700000000000001e-05,-4.64e-05,0.0,2.9999999999999992e-06,9.000000000000002e-07,1e-06,-0.0004409,0.0,0.2437500000951331,-0.0007249999999459,-0.2437500000063153,-0.0002250000022741,-0.1187500004107278,0.0,-12.881249999999998,0.002,0.0,10.0,180.0,0.2265622,-5.2138674,-0.258789,0.0,0.0,0.0,0.0,0.0,0.0
3,0.059,200.0,118.0999833,559.9999882,0.0002348,200.0,118.09999,559.99999,0.0,-1.9600000000000005e-05,0.0001733999999999,0.0001026,0.0,-3.388131789017201e-22,6.7e-06,1.8e-06,-0.0002348,0.0005000000001587,0.0625000000198383,0.0007249999999459,0.0,-0.0002749999964635,0.1812500002529304,-0.017175,8.587499999999997,0.002,0.0,10.0,180.0,0.2270505,-5.2133791,-0.258789,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0789999999999999,199.999997,118.09998620000002,559.9999891,0.0003035,200.0,118.09999,559.99999,0.0,0.0,7.579999999999999e-05,4.9e-06,0.0,3e-06,3.8e-06,9.000000000000002e-07,-0.0003035,-0.0005000000001587,-0.0625000000198383,-0.0002500000000793,0.1187499999666386,0.0,-0.0624999998422026,0.03435,-4.293750000000001,0.002,0.0,10.0,180.0,0.2270505,-5.2138674,-0.2592773,0.0,0.0,0.0,0.0,0.0,0.0
5,0.099,199.999998,118.09999,559.999991,0.0003722,200.0,118.09999,559.99999,0.0,1.9500000000000003e-05,-0.0001122,-4.64e-05,0.0,1.999999999999999e-06,2.964615315390051e-22,-1e-06,-0.0003722,0.0010000000003174,0.0,-0.0002500000000793,-0.1250000000396767,0.0002499999993688,0.0,0.034325,17.168749999999996,0.002,0.0,10.0,180.0,0.2265622,-5.214844,-0.258789,0.0,0.0,0.0,0.0,0.0,0.0
6,0.119,199.999998,118.0999861,559.9999881,0.000441,200.0,118.09999,559.99999,0.0,5.86e-05,1.7999999999999994e-05,5.13e-05,-0.0086262,1.9999999999999995e-06,3.9e-06,1.9e-06,-0.000441,-0.0005000000001587,0.0625000000198383,0.0,-0.0562499999468002,0.0002499999993688,0.1249999996844053,-0.085825,-8.587500000000002,0.002,0.0,10.0,180.0,0.2270505,-5.2128908,-0.258789,0.0,0.0,0.0,0.0,0.0,0.0
7,0.139,199.999995,118.0999881,559.999996,0.0003035,200.0,118.09999,559.99999,0.0,0.0,-2.1800000000000008e-05,-0.0001392,0.0,4.999999999999999e-06,1.9e-06,-6e-06,-0.0003035,0.0002500000000793,0.0625000000198383,0.0002500000000793,0.3062500000261536,0.0,0.0,0.01715,-4.287500000000007,0.002,0.0,10.0,180.0,0.2260739,-5.2138674,-0.2592773,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1589999999999999,199.999998,118.0999852,559.9999873,0.0001661999999999,200.0,118.09999,559.99999,0.0,1.9500000000000003e-05,0.0001083999999999,0.0001539,0.0024211,1.999999999999999e-06,4.8e-06,2.7000000000000004e-06,-0.0001661999999999,-0.0002500000000793,0.0,-0.0002500000000793,-0.1250000000396767,-0.0002499999993688,0.0,2.4999999999994472e-05,8.581249999999994,0.002,0.0,10.0,180.0,0.2270505,-5.2138674,-0.258789,0.0,0.0,0.0,0.0,0.0,0.0
9,0.179,199.999998,118.0999901,559.999994,0.0003035,200.0,118.09999,559.99999,0.0,-1.96e-05,-2.1800000000000008e-05,-9.28e-05,0.0,1.999999999999999e-06,-9.999999999999957e-08,-4e-06,-0.0003035,-0.0002500000000793,0.1250000000396767,0.0002500000000793,-0.187500000059515,0.0002499999993688,0.0,0.0343249999999999,-8.581250000000004,0.002,0.0,10.0,180.0,0.2260739,-5.2133791,-0.2592773,0.0,0.0,0.0,0.0,0.0,0.0
