Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,a_p,a_e,phi,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
6817,136.339,-31.1578554,209.13564260000004,386.9399757,1038912.9937195,-31.1590267,209.2118997,386.93999,1039027.968,-0.0660271,5.8473489,0.0004803999999999,22800.0,-0.0003344999999999,0.0004283999999999,1.429999999999972e-05,0.0,-0.0764249999999577,-4.881250000021629,5.85717499999987,8.049999999926172,-0.0080499999995709,2.750000000162345,22799.823774996912,124.45625034101394,0.002,6.0,10.0,180.0,0.5791016,-5.8789063,-0.4838864,-0.6270264,2.235603751880649e-11,9.826204620753439e-11,2.408158464930108e-11,1.0081612939560204e-10,1.2000000000000004
6818,136.35899999999998,-31.1591133,209.252544,386.9399765,1039368.9951387,-31.1598339,209.3285632,386.93999,1039483.968,-0.0345460999999999,5.8395186,0.0004616999999999,22800.0,-0.0002613999999999,0.0001874999999999,1.3499999999999722e-05,0.0,-0.0454000000000398,7.200000000007281,5.84472500000075,-4.881249999932891,0.0046249999996916,1.5249999993471874,22800.21857500251,12.868750490584352,0.002,6.0,10.0,180.0,0.5708008,-5.891601700000001,-0.4848629,-0.6254883,1.1178018759403246e-11,4.9131023103767196e-11,1.2040792324650538e-11,5.0408064697801006e-11,1.2000000000000004
6819,136.379,-31.1596887,209.3679698,386.9399952,1039824.995047,-31.1600754,209.4355893,386.93999,1039939.968,-0.0105302,4.083668,-0.0001893,22800.0,-0.0002897999999999,0.0013434999999999,-5.2000000000002806e-06,0.0,-0.0178499999999637,-4.02499999998521,5.275399999999308,-162.90000000012128,0.0061250000001678,-0.3062499995820644,22800.149925000733,-77.23750022765162,0.002,6.0,10.0,180.0,0.5566405000000001,-5.1948242,-0.484863,-0.5978028,5.589009379701623e-12,2.4565511551883598e-11,6.020396162325269e-12,2.5204032348900503e-11,1.1250000000000002
6820,136.399,-31.1599737,209.4351259,386.9411308,1040280.995093,-31.1600411,209.4788831,386.949469,1040395.968,-0.0018734,1.5076645000000002,1.4426875,22800.0,-9.449999999999997e-05,0.0237555,-0.0008116,0.0,0.0017249999999968,3.2937499999886284,1.7248500000000888,-107.90625000005603,0.3876750000003426,90.03125000006662,22799.7894250002,-68.67500051217067,0.002,6.0,10.0,180.0,0.5405272,-5.310547,0.2397462,-0.5844726,2.794504689850812e-12,1.2282755775941799e-11,3.0101980811626344e-12,1.2602016174450252e-11,1.0500000000000005
6821,136.419,-31.160085,209.4579241,386.9817579000001,1040736.9936967,-31.160035,209.482,387.0427461,1040851.968,0.0016404,0.7914995000000002,9.6484151,22800.0,4.930000000000004e-05,0.0237447999999999,-0.016871,0.0,-0.0192750000000074,-0.3624999999950787,0.7502500000001078,11.162500000239106,4.927750000000231,503.5937500000642,22799.80660000001,150.20624996336264,0.002,6.0,10.0,180.0,0.5288085,-5.776855500000001,2.9370117,-0.6044677,1.3972523449254057e-12,6.1413778879708994e-12,1.5050990405813172e-12,6.301008087225127e-12,0.9000000000000002
6822,136.439,-31.1600977,209.4709854,387.2503955,1041192.9929185,-31.160035,209.482,387.4870763,1041307.968,0.0020886,0.3671551000000002,33.8862636,22800.0,6.270000000000003e-05,0.0110146,-0.1115371,0.0,0.0058249999999482,2.437500000018824,0.4428750000002424,-22.274999999893907,25.152099999998256,1409.981249999959,22800.21857499669,8.581250585253292,0.002,6.0,10.0,180.0,0.5170897,-5.7451173,7.0898437,-0.6029297,6.98626172462703e-13,3.0706889439854497e-12,7.525495202906586e-13,3.1505040436125637e-12,0.9000000000000002
6823,136.459,-31.16005,209.4770127,388.083086,1041648.9952987,-31.160035,209.482,388.6821545,1041763.968,0.0004934,0.1662434000000001,75.8325452,22800.0,1.500000000000004e-05,0.0049872999999999,-0.2827791,0.0,-0.0053499999999928,-3.3500000000240875,0.1755249999995101,-6.712500000105592,61.21509999999972,2310.849999999931,22800.11557500111,-102.98749985000032,0.002,6.0,10.0,180.0,0.5102539,-5.7753907,11.1479493,-0.5972901,3.493130862313515e-13,1.535344471992725e-12,3.762747601453293e-13,1.5752520218062816e-12,0.9000000000000002
6824,136.479,-31.1600889,209.47971,389.8331895,1042104.9958939,-31.160035,209.482,390.9986373,1042219.968,0.0017886,0.0763347000000001,131.4217435,22800.0,5.390000000000004e-05,0.0022899999999999,-0.4802886,0.0,0.0180750000000173,-1.1562499999894542,0.0976500000000157,1.3374999998205794,115.99827500000116,2938.4749999998407,22799.823775002733,-38.63125020930456,0.002,6.0,10.0,180.0,0.4975586000000001,-5.8032226,14.1635742,-0.6121583,1.7465654311567574e-13,7.676722359963625e-13,1.8813738007266465e-13,7.876260109031408e-13,0.9000000000000002
6825,136.499,-31.1601073,209.48103810000003,392.7390293,1042560.9967635,-31.160035,209.482,394.5864434,1042675.968,0.0024140999999999,0.0320637000000001,190.4000861,22800.0,7.230000000000005e-05,0.0009618999999999,-0.6284752,0.0,-0.0163500000000205,3.350000000002042,0.0569000000005814,-2.0187499998769454,174.7734499999993,3017.6437500003312,22800.149900000542,115.87499975516548,0.002,12.0,10.0,180.0,0.5004883,-5.7963868,14.637695400000002,-0.6265137,8.732827155783787e-14,3.838361179981813e-13,9.406869003633233e-14,3.938130054515704e-13,0.9000000000000002
6826,136.51899999999998,-31.1600507,209.4816288,396.8475947,1043016.9975646,-31.160035,209.482,399.4526076,1043131.968,0.0005259999999999,0.0123698000000001,251.8735288,22800.0,1.5700000000000036e-05,0.0003712999999999,-0.7018092,0.0,0.0105000000000465,-1.2874999999911467,0.0112249999993707,-5.90625000000955,236.15550000000096,3076.3562499998898,22800.2357499965,4.29374995232647,0.002,12.0,10.0,180.0,0.4936523,-5.7807617,15.2109375,-0.6034425000000001,4.3664135778918936e-14,1.9191805899909066e-13,4.703434501816616e-14,1.969065027257852e-13,0.8250000000000002
