,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,a_e,cut_angle,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,-296.1799570639091,155.09932811150867,504.16008602661566,318.287754727212,-296.179949,155.099328,504.1600830000002,341.2451560000002,0.0001313065666665,-3.626027179195338e-06,-3.4614788188253464e-08,0.0,7.86140558479569e-06,-1.1124367677542787e-07,-3.625725621916781e-06,0.0,0.0009960443595363,-0.2495085058265022,0.0025003968145503,-1.2498060410890848,0.0015055841790522,-0.6248262742963349,-0.1375618957461807,34.352636116497,0.002,0.0057812281633851,0.0095513594892438,0.010173334868563,0.0,10.0,180.0,-0.2636743322738,-5.180662994401747,0.3662116228889229,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,-296.17995721334853,155.09932448617184,504.1600820915589,318.2874768307576,-296.179949,155.099328,504.1600830000002,341.2451560000002,0.0001367138092703,0.0001145612543032,6.795471497921945e-05,0.0,8.004998708379539e-06,3.514028636096281e-06,1.0855848391680209e-07,0.0,-0.0005157856694892,0.1266544618251924,0.0005012247649165,0.3755745604334053,-0.0019789627835886,0.0004656059441207,-0.0006774747595393,8.592858227350188,0.002,0.0068636205220696,0.0091063482716491,0.0098158591009321,0.0,10.0,180.0,-0.2636845466449876,-5.1806549708582015,0.3662047592349539,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,-296.179949034096,155.09932868198328,504.1600782525128,318.28762120870635,-296.179949,155.099328,504.1600830000002,341.2451560000002,-6.331509581162827e-05,-2.2318236044814143e-05,0.0002003277364728,0.0,3.3480506336196345e-08,-6.849643583356124e-07,4.134955499945482e-06,0.0,0.0004842166256812,-0.2495992183840478,0.0014984561411855,0.1252906522863315,-0.0019387567777603,0.4883632759955653,0.0338066468336887,8.560629524744334,0.002,0.0061862787000672,0.0093813274474158,0.0100891893820975,0.0,10.0,180.0,-0.2646882787885464,-5.180643664202539,0.3661702744901293,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,-296.1799488034347,155.09933061142408,504.1600840680292,318.2874883052458,-296.179949,155.099328,504.1600830000002,341.2451560000002,-6.50196082353483e-06,-8.524402492665423e-05,-4.83394955117057e-06,0.0,-1.8567479746001785e-07,-2.615298481460557e-06,-1.885375980298592e-06,0.0,-3.001886005115446e-06,-0.2506169919761366,4.149879666671703e-06,-0.1252792904698217,0.000490485595206,0.3756219303573241,-0.0684227233406051,17.128742076463215,0.002,0.0066189758575726,0.0094100194302986,0.0102181995613509,0.0,10.0,180.0,-0.2647391004974096,-5.181643746697915,0.3690943112563521,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,-296.17995276996464,155.0993243808381,504.1600822338065,318.2878898066802,-296.179949,155.099328,504.1600830000002,341.2451560000002,-9.62276347910614e-06,0.0001179615101637,5.763937518605174e-05,0.0,3.781297803649773e-06,3.618128018491477e-06,-3.910235424571786e-08,0.0,-0.0015008780922762,0.0002556435258002,0.0015122427238394,0.01262836640664,-0.0015106589963449,-0.0002575736512687,-0.0678806916366427,-25.77355995950168,0.002,0.0063743772806711,0.0094325514776856,0.0101440849382178,0.0,10.0,180.0,-0.2628247879895035,-5.179740031305846,0.3662392396307224,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,-296.1799526818446,155.0993281686156,504.1600902971983,318.28760151842414,-296.179949,155.099328,504.1600830000002,341.2451560000002,-7.353355443414215e-05,-5.536602820423866e-06,-1.137706816979025e-05,0.0,3.690387386727528e-06,-1.701653157386941e-07,-7.493300076200419e-06,0.0,-0.0005087882385548,-0.1246848270331841,6.2138267630812e-06,0.1257506719541077,3.801070337283774e-06,0.1244286037787933,0.034737559783553,17.21171398516042,0.002,0.0063281480339851,0.0093374317705988,0.010015778160139,0.0,10.0,180.0,-0.2647644484996587,-5.180725871257472,0.3682919721957719,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,-296.17995253676327,155.09932637096622,504.16008413097927,318.2880145769416,-296.179949,155.099328,504.1600830000002,341.2451560000002,-3.165119389346697e-06,5.929560814664756e-05,6.386107550117469e-05,0.0,3.5470440547679904e-06,1.8244486602228584e-06,-1.7295334613782587e-06,0.0,-3.013026434514448e-06,0.124316410674978,0.0014952487499641,-0.1247582590105951,0.0005110710373104,7.122975713249601e-05,-0.0347885333797846,-8.560076054496182,0.002,0.0067026846665423,0.0093313577015856,0.0096941209518534,0.0,10.0,180.0,-0.2637289544905318,-5.181646161024729,0.3673378738621246,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,-296.1799488310879,155.09932626603157,504.1600919764657,318.28761367097434,-296.179949,155.099328,504.1600830000002,341.2451560000002,-0.0001302204285086,5.645114773191208e-05,-0.0001255345885298,0.0,-3.5938707114518775e-07,1.730938402277584e-06,-9.179638296742252e-06,0.0,-0.0014388016345792,-0.1129199271122223,0.0009979028073945,0.1245353937013689,-0.0004971300467503,-0.24947540446628,0.0681648582156827,-0.0185746283012023,0.002,0.0063703754449183,0.0095564716873512,0.0097004414871852,0.0,10.0,180.0,-0.263670048263588,-5.180609942288551,0.3672699142892416,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,-296.17995685387825,155.09932244019333,504.16008601304327,318.287619753302,-296.179949,155.099328,504.1600830000002,341.2451560000002,6.472090882581508e-05,0.0001875940934907,5.158437304843986e-07,0.0,7.656334085315455e-06,5.7600204748955004e-06,-3.6147423162379113e-06,0.0,-0.0009934960393863,0.1258454207480456,0.0005023713619746,0.4877440143365237,-0.0015045149112944,0.2499382804739038,-5.789342298729849e-05,-0.0204352010174022,0.002,0.0069346397579344,0.0094600075907255,0.0098283587555009,0.0,10.0,180.0,-0.2636447318706417,-5.18256341074356,0.3672024945635014,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,-296.17994880434844,155.09932027975225,504.1600880345809,318.2877570751556,-296.179949,155.099328,504.1600830000002,341.2451560000002,-6.961679347175636e-05,0.0002516459827246,6.633383429542229e-07,0.0,-1.963309212503467e-07,7.718866680973128e-06,-5.4339598356173744e-06,0.0,-0.0010101476007252,-0.2495536929551395,0.0004926901458651,0.1379044603048359,0.0005046616778141,0.124337326639573,0.0686278770936472,0.0226785349869516,0.002,0.0063540211155779,0.0093290745163524,0.0096986116836049,0.0,10.0,180.0,-0.2636445253554959,-5.182603437915104,0.3662265689531715,0.0,0.0,0.0,0.0,0.0,0.0
