Unnamed: 0,f_x,f_y,f_z,pos_x,pos_y,pos_z,pos_sp,curr_x,curr_y,curr_z,curr_sp,v_x,v_y,v_z,v_sp,a_x,a_y,a_z,a_sp,pos_x_sim,pos_y_sim,pos_z_sim,v_x_sim,v_y_sim,v_z_sim,v_sp_sim,a_x_sim,a_y_sim,a_z_sim,a_sp_sim,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,m_sp_sim,materialremoved_sim,F_sim
85,4.21142578125,0.84228515625,59.368896484375,94.8965908,310.5429972,452.24396289999993,5918.3478303,1.8232422,-3.9541015,-0.9907227,-0.7080322000000001,-599.8204075000003,-600.0141850000006,-189.88369000000063,19200.033187500027,-4.232249999978421,-1.1891875000088703,-5.012874999934525,-0.7726250004452595,-56.25,-235.96,-338.82,-332.88,219.84,0.0,0.0,-0.5548,0.3664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,170.30029296875,-3.314208984375,55.2001953125,82.8979923,298.5457422,448.4433106,6302.348150600001,1.7089845,-3.8198244,-0.9555665,-0.703418,-599.9765149999995,-599.9301049999999,-190.02529499999952,19200.048635000006,-6.171249999991346,-0.6963750000096525,-4.464749999968376,-0.3861875013171811,-56.51,-235.79,-338.82,-1331.52,879.36,0.0,0.0,-1.1096,0.7328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,140.7165527343767,7.336425781254721,44.519042968743605,70.89753020000002,286.545793,444.6429511,6686.3497757000005,1.8828126,-3.8857422,-1.003418,-0.7023927000000001,-600.0672575,-600.042040000001,-190.06227999999936,19200.01773999997,0.5835624999775746,-0.4716875000099207,-1.701562499967224,-1.1586875012653763,-57.21,-235.33,-338.82,-2995.92,1978.56,0.0,0.0,-1.6644,1.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,164.025878906249,1.0314941406251352,28.06396484375,58.895302,274.5440606,440.8408194,7070.3488602,1.6367186,-3.908203,-0.9550781,-0.7013672000000001,-599.9531725000004,-599.9489725000003,-190.0933574999982,19200.00228749996,6.8596250000013015,4.274812500034386,4.421249999992938,-0.2576874999249412,-58.54,-234.42,-338.82,-4934.54,3517.44,0.0,0.0,-1.368268,1.4656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,175.9521484374995,5.78613281250548,19.79370117188117,46.8994033,262.5478341,437.0392168,7454.349867199999,1.8535156,-3.8554687,-0.9707032,-0.7008546,-599.7928724999999,-599.8710474999996,-189.88542999999964,19200.007432499977,96.34043750000671,106.79375000002268,37.40774999997143,-0.3433124970797507,-60.43,-232.93,-338.82,-6243.58,5493.42,0.0,0.0,-0.813468,1.775878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,175.56762695312509,3.955078124999029,8.087158203125,34.9035871,250.5492187,433.2454022,7838.349157499999,0.2695311999999999,-5.446777599999999,-0.6191405999999999,-0.7013673,-596.0995550000001,-595.6772224999994,-188.59704749999932,19199.988555000076,498.8078749999943,510.3650625,155.60137499999627,-0.0425624989475181,-62.63,-230.77,-338.82,-6886.87,7404.63,0.0,0.0,-0.258668,1.409478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,188.677978515625,2.30712890625,-0.732421875,23.0554211,238.7207452,429.4953349000001,8222.349409400002,-4.8652345,-8.940917899999999,0.7875976,-0.7034179,-579.8405575000002,-579.4564449999996,-183.6613749999998,19200.00573000002,1234.8538750000046,1232.4481249999762,387.073499999957,0.600874997144274,-64.93,-228.04,-338.82,-6792.03,8876.17,0.0,0.0,0.296132,1.043078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,172.9125976562506,0.018310546875552,-6.890869140625485,11.709964799999998,227.3709609,425.8989472,8606.3493867,-8.7861329,-13.166504,2.1025391000000004,-0.7080320999999999,-546.7053999999999,-546.3792975000003,-173.11410750000107,19200.01258999996,2051.959375000004,2041.2946874999705,650.7287500000202,0.8580625001741282,-67.1,-224.9,-338.82,-6103.79,9908.02,0.0,0.0,0.850932,0.676678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,153.210449218752,-0.0671386718756244,-8.990478515625833,1.1872050999999997,216.8655733,422.5707706,8990.349913,-13.7387697,-16.3745118,3.1406249,-0.7003419,-497.7621825,-497.8046575000008,-157.63222499999898,19200.040052500022,2651.927624999997,2631.8291875000086,838.2798750000475,0.6437500008360075,-68.92,-221.49,-338.82,-4749.79,10500.2,0.0,0.0,1.405732,0.310278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,-2.0874023437504667,0.8422851562504861,-9.826660156248542,-8.2005225,207.4587746,419.5936582000001,9374.3509888,-13.288574300000002,-17.1191407,3.2778322,-0.7008544,-440.628295,-441.10613,-139.58291249999917,19200.038339999992,2918.406312499998,2914.5981250000477,926.1828749999524,-0.6008750028740906,-70.19,-217.96,-338.82,-2790.21,10495.04,0.0,0.0,1.626936,-0.056122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
