Unnamed: 0,f_x,f_y,f_z,pos_x,pos_y,pos_z,pos_sp,curr_x,curr_y,curr_z,curr_sp,v_x,v_y,v_z,v_sp,a_x,a_y,a_z,a_sp,pos_x_sim,pos_y_sim,pos_z_sim,v_x_sim,v_y_sim,v_z_sim,v_sp_sim,a_x_sim,a_y_sim,a_z_sim,a_sp_sim,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,m_sp_sim,materialremoved_sim,F_sim
70,241.3024902343844,783.8989257812871,160.7299804687288,48.7168056,261.86356149999995,440.3684882,52.117728,1.8535158,-3.8422852,-0.9853516,0.005127,-599.7247999999998,-599.8122124999994,-180.0407975000013,-0.0068649999999337,110.92824999999492,120.06293750008864,37.10150000006962,-0.3865624999965789,-56.21,-235.99,-338.81,0.0,0.0,124.68,0.0,0.0,0.0,0.2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,209.7961425781229,769.024658203133,157.0373535155454,36.7239386,249.8680516,436.768959,52.1174532,0.0444335999999999,-5.567383,-0.4741211999999999,0.005127,-595.551055,-595.1458224999996,-178.54399249999915,-0.0188924999999784,531.7826249999968,544.1208124999974,166.34156250002974,-0.3865000000002894,-56.21,-235.99,-338.71,0.0,0.0,498.72,0.0,0.0,0.0,0.4156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,217.065429687482,770.1477050781191,157.43408203131222,24.8947634,238.0577286,433.2267285,52.1169723,-5.1352539,-9.0810547,0.6938475,0.0015381,-578.453495,-578.0473799999995,-173.38713500000011,-0.0223249999999453,1279.5803750000005,1279.2723749999964,381.0723125000237,-0.0856250000014213,-56.21,-235.99,-338.45,0.0,0.0,1122.12,0.0,0.0,0.0,0.6234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,223.620605468747,768.200683593775,159.9853515625025,13.5857988,226.7461564,429.8334736,52.1165602,-9.1137696,-13.3496094,1.9306639,0.0,-544.36784,-543.9749274999997,-163.3010999999982,-0.0223175000000352,2096.3904999999995,2082.9843124999484,622.5849374999725,0.1291249999946231,-56.21,-235.99,-337.93,0.0,0.0,1993.21,0.0,0.0,0.0,0.79721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,242.73681640620796,772.4487304687469,161.59057617185812,3.1200498,216.2987315,426.6946845000001,52.1160796,-14.024902399999998,-16.3359375,2.9975585,0.0,-494.597875,-494.7280075000016,-148.4837375000012,-0.0171600000001603,2677.914312500002,2655.120874999994,801.2793749999503,0.1718125000049752,-56.21,-235.99,-337.12,0.0,0.0,2825.18,0.0,0.0,0.0,0.58941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,234.80224609376805,786.4318847656037,157.0922851562542,-6.198116199999999,206.95703609999995,423.8941241,52.1158738,-13.124023500000002,-17.043456999999997,3.1611328,0.0,-437.2512674999999,-437.7700924999999,-131.2499250000002,-0.0154449999998362,2925.0132500000004,2924.296375000068,880.4711250000707,0.1715625000020537,-56.21,-235.99,-336.08,0.0,0.0,3407.8,0.0,0.0,0.0,0.38161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,209.7106933593424,766.638183593775,161.06567382813188,-14.3700009,198.7879278,421.4446875,52.115461800000006,-15.405273500000002,-17.794433499999997,3.3115235,0.0,-377.597345,-377.7561524999989,-113.26489249999838,-0.0102975000000782,3034.466437499998,3044.7857500000096,911.3354375000072,0.1714999999880007,-56.21,-235.99,-334.88,0.0,0.0,3741.05,0.0,0.0,0.0,0.17381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,225.2746582031404,770.0927734375076,157.15942382813108,-21.30201,191.84679,419.3635284,52.11546189999999,-14.5942383,-17.968750000000004,3.3544921000000003,0.0,-315.87261,-315.9786624999996,-94.7965074999999,-0.0085850000003162,3097.561937499996,3101.8614999999795,929.9896874999548,0.1286250000065436,-56.21,-235.99,-333.62,0.0,0.0,3737.71,0.0,0.0,0.0,-0.03399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,225.5371093749833,759.4543457031156,158.0688476562666,-27.0049053,186.1487813,417.6528272000001,52.11511839999999,-15.5307617,-18.1440431,3.5478516,0.0,-253.69486750000013,-253.68169249999968,-76.0653050000002,-0.0051524999998164,3123.358812499997,3123.5881874999905,938.8464374999116,0.2146250000079064,-56.21,-235.99,-332.39,0.0,0.0,3572.24,0.0,0.0,0.0,-0.24179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,241.0339355468681,772.2473144531098,158.5754394531186,-31.449804700000005,181.6995223,416.3209162,52.1152558,-15.3750001,-18.3266601,3.4926760000000003,0.0,-190.93825750000013,-191.0351349999999,-57.24265000000344,0.0,3106.2058750000097,3100.0581249999823,930.4203124999688,0.1717499999953631,-56.21,-235.99,-331.26,0.0,0.0,3157.41,0.0,0.0,0.0,-0.44959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
