pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,CONT_DEV_X,CONT_DEV_Y,CONT_DEV_Z,CONT_DEV_SP
91.315834,304.4638277,453.149369,0.0,-599.9999999999993,-599.9999249999973,-180.00099999999577,3.410605131648481e-11,0.000500000254533,4.2632564145606006e-10,0.0,1.6420898000000002,-3.9414063,-0.9980469,0.005127,0.0,0.0,0.0,0.0,0.0,-0.0008091999999999998,0.0020884999999999996,-0.0020005,0.0
79.315834,292.4638286,449.5493488999999,0.0,-600.0000000000007,-599.9999550000013,-180.00100500000542,-6.821210263296962e-11,-0.0015000001951648,-0.0002500004825378,0.0,1.8188477,-3.7446288,-0.9653321,0.005127,0.0,0.0,0.0,0.0,0.0,-0.0005766999999999998,0.0017538000000000002,-0.000799,0.0
67.315834,280.4638296,445.9493287,0.0,-600.0,-599.9999500000001,-180.00100999999518,3.410605131648481e-11,0.0002500000562122,-0.000249999487778,0.0,1.8085936,-3.8857421,-0.9619141,0.005127,0.0,0.0,0.0,0.0,0.0,0.0028959,0.0039775999999999995,-0.0011853,0.0
55.315834,268.463831,442.3493086,0.0,-600.0,-599.9999299999985,-180.00100499999974,0.0,0.0010000000827403,0.0002499997719951,0.0,1.6264647999999997,-3.8925782,-1.0117188,0.005127,0.0,0.0,0.0,0.0,0.0,-0.0005102999999999998,-0.00016749999999999998,-1.0000000000010001e-07,0.0
43.315834,256.4638325,438.7492884,0.0,-600.0,-599.999925000003,-180.00101000000086,0.0,0.0002499997719951,-0.0002500000562122,0.0,1.8666994,-3.7519532,-0.9951173,0.005127,0.0,0.0,0.0,0.0,0.0,-0.0030862,0.0030068,0.0019379,0.0
31.333290400000003,244.4812889,435.1545052,0.0,-599.1271799999996,-599.1271799999993,-179.73915999999974,43.6410000000194,43.63725000018803,13.092500000055908,0.0,0.7851563,-4.9838869,-0.6982422,0.005127,0.0,0.0,0.0,0.0,0.0,-0.0565798,-0.0700329,-0.019106500000000002,0.0
19.5716357,232.71963570000003,431.6259888000001,0.0,-588.0827350000001,-588.0826599999978,-176.4258199999972,552.2222499999771,552.2260000000756,165.66700000012702,0.0,-4.2148438,-8.3486329,0.5415037,0.0025635,0.0,0.0,0.0,0.0,0.0,-0.2127722,-0.22406069999999997,-0.0675683,0.0
8.4151274,221.5631284,428.2790177,0.0,-557.8254150000001,-557.8253650000008,-167.34855500000378,1512.8659999999968,1512.8647499998465,453.86324999967087,0.0,-8.2192384,-12.4545898,1.6699217000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.39762770000000003,-0.4270431,-0.1230739,0.0
-1.7454122,211.4025901,425.2308387,0.0,-508.02698,-508.0269150000007,-152.40895000000023,2489.921750000008,2489.9225000000088,746.9802500001776,0.0,-13.3662109,-16.0908203,2.8813475,0.0,0.0,0.0,0.0,0.0,0.0,-0.5865243,-0.5972308,-0.1763358,0.0
-10.673698300000002,202.4743048,422.5523381,0.0,-446.41430500000007,-446.414265,-133.92503000000033,3080.6337499999954,3080.632500000036,924.1959999999948,0.0,-13.2504883,-16.8823242,3.0795899,0.0,0.0,0.0,0.0,0.0,0.0,-0.6656915999999999,-0.6759383999999999,-0.2009346,0.0
-18.3419886,194.8060153,420.2518381,0.0,-383.414515,-383.4144750000007,-115.02499999999998,3149.9895000000065,3149.989499999961,945.0015000000178,0.0,-15.1494142,-17.7006835,3.2856445,0.0,0.0,0.0,0.0,0.0,0.0,-0.7140836,-0.7149197,-0.2135841,0.0
-24.7502792,188.3977255,418.3293401,0.0,-320.41453,-320.41448999999886,-96.12490000000092,3149.999249999996,3149.9992500000926,945.004999999952,0.0,-14.5200195,-17.9106445,3.3759766,0.0,0.0,0.0,0.0,0.0,0.0,-0.7278749999999999,-0.7347376999999999,-0.2183271,0.0
