pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,CONT_DEV_X,CONT_DEV_Y,CONT_DEV_Z,CONT_DEV_SP
-1.148025,170.9550142,402.10999,22800.0,0.0,-5.833340000000931,0.0,0.0,-0.0002500001272665,0.0,0.0,0.3417969,-4.8344727,-0.3818356,-0.6244628999999999,0.0,0.0,0.0,0.0,0.0,3.2999999999993103e-06,-0.00039499999999999936,-8.099999999999213e-06,0.0
-1.148025,170.8383477,402.10999,22800.0,0.0,-5.833324999998979,0.0,0.0,0.0007500000975824,0.0,0.0,0.3417968,-4.8583984,-0.380371,-0.6121582,0.0,0.0,0.0,0.0,0.0,-6.000000000006895e-07,-0.00018079999999999935,-2.8599999999999215e-05,0.0
-1.148025,170.721681,402.10999,22800.0,0.0,-5.833335000001227,0.0,0.0,-0.0005000001124244,0.0,0.0,0.342285,-4.8330079,-0.3813474,-0.5967774,0.0,0.0,0.0,0.0,0.0,-1.330000000000069e-05,-0.00011989999999999932,1.1400000000000782e-05,0.0
-1.148025,170.6050143,402.10999,22800.0,0.0,-5.833334999999806,0.0,0.0,7.105427357601002e-11,0.0,0.0,0.3417968,-4.8457032,-0.3808592,-0.5998534,0.0,0.0,0.0,0.0,0.0,9.19999999999931e-06,0.0005796000000000006,2.9100000000000782e-05,0.0
-1.148025,170.4883477,402.10999,22800.0,0.0,-5.833330000000103,0.0,0.0,0.0002499999851579,0.0,0.0,0.3417968,-4.9042968,-0.3828123,-0.5911375999999999,0.0,0.0,0.0,0.0,0.0,2.3999999999993104e-06,0.00041100000000000067,-3.249999999999922e-05,0.0
-1.148025,170.37168100000002,402.10999,22800.0,0.0,-5.833334999998385,0.0,0.0,-0.0002499999141036,0.0,0.0,0.3408203,-4.8842774,-0.3818357,-0.5824218,0.0,0.0,0.0,0.0,0.0,1.979999999999931e-05,0.0004015000000000007,-1.5599999999999217e-05,0.0
-1.148025,170.2550143,402.10999,22800.0,0.0,-5.833335000001227,0.0,0.0,-1.4210854715202004e-10,0.0,0.0,0.3388671,-4.856933499999999,-0.3837888,-0.5875489,0.0,0.0,0.0,0.0,0.0,-1.930000000000069e-05,-1.599999999999337e-06,2.5200000000000782e-05,0.0
-1.148025,170.1383476,402.10999,22800.0,0.0,-5.833334999999806,0.0,0.0,7.105427357601002e-11,0.0,0.0,0.3422852,-4.902343699999999,-0.382324,-0.6188233,0.0,0.0,0.0,0.0,0.0,2.2699999999999312e-05,2.1100000000000672e-05,1.3600000000000781e-05,0.0
-1.148025,170.021681,402.10999,22800.0,0.0,-5.833330000000103,0.0,0.0,0.0002499999851579,0.0,0.0,0.3383788,-4.832031300000001,-0.3833006,-0.6203613,0.0,0.0,0.0,0.0,0.0,-1.2500000000000688e-05,1.1900000000000665e-05,-2.4599999999999222e-05,0.0
-1.148025,169.9050143,402.10999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.0002499999851579,0.0,0.0,0.3417969,-4.884765799999999,-0.3823239,-0.5983155,0.0,0.0,0.0,0.0,0.0,2.9799999999999308e-05,0.00027470000000000066,-1.779999999999922e-05,0.0
-1.148025,169.7883477,402.10999,22800.0,0.0,-5.833330000000103,0.0,0.0,0.0002499999851579,0.0,0.0,0.3374023,-4.8774413,-0.3828121999999999,-0.5993408,0.0,0.0,0.0,0.0,0.0,-2.1200000000000688e-05,3.980000000000067e-05,3.110000000000078e-05,0.0
-1.148025,169.67168099999998,402.10999,22800.0,0.0,-5.833335000001227,0.0,0.0,-0.0002500000562122,0.0,0.0,0.3398438,-4.9252929000000005,-0.3842771,-0.5993408,0.0,0.0,0.0,0.0,0.0,2.009999999999931e-05,0.00010440000000000067,4.6000000000007784e-06,0.0
