,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,261.3521911520445,474.5010039849907,504.5465351679645,150.57569098968204,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,-5.452046542228971e-05,-0.0001273476739739,6.347551571219521e-05,0.0,-1.152044431742011e-06,-5.586378699955979e-06,1.8320356052851791e-06,0.0,0.0023503053336641,-0.562415097172263,-0.002501369511282,2.624108064103767,0.0023512336195271,-1.6746397043678314,0.1030524539242441,-42.93130580931626,0.002,0.0043390174570154,0.009060994996492,0.0027346470127734,0.0,-0.2753743031640604,-5.598650396003262,0.3319886160165831,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,261.35219874712084,474.50099993348977,504.5465290648239,150.5758326954277,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,-0.0001130962667783,-6.201042689744861e-05,6.888355794928704e-05,0.0,-8.747120712514e-06,-1.736957728746406e-06,7.935176265003618e-06,0.0,-0.0004993285878952,-0.1245959688229491,-0.001011366522466,0.1226020810796111,0.0019545249896595,-0.2362573817931173,3.883331695132483e-05,-8.570464123822783,0.002,0.0036398945244551,0.0096424037352193,0.002580160261747,0.0,-0.2753105473657365,-5.597737198960249,0.3337996766487588,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,261.3521985575256,474.5010019740832,504.5465308800939,150.57583414537055,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,1.3136516011038283e-05,6.368658010002112e-05,1.0222503687725714e-05,0.0,-8.557525473733146e-06,-3.966690626157308e-06,6.119906316176712e-06,0.0,-0.0005029152488074,-0.2487673484415122,-0.0015200411599471,-0.001315924874465,-0.0014522836164119,-0.0989021316544363,-2.433418520105036e-05,0.0179719010156259,0.002,0.0042926399621403,0.0094332754509252,0.0025418657432405,0.0,-0.2752427981884859,-5.598763524818912,0.3327809562837367,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,261.35219090421714,474.501006216935,504.5465350594485,150.57583390120976,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,7.065134895566406e-05,-9.956936976703667e-06,-5.814482146322536e-05,0.0,-9.042170702788584e-07,-8.192303500829503e-06,1.940551757435454e-06,0.0,0.0004361805389362,-0.1243601102017878,0.0009883062014368,-0.125528141403468,0.0009387773220988,-0.1123252011617721,-4.5611164739127295e-05,-8.5836191157541,0.002,0.0034766160042273,0.0089668688693761,0.0028439148965517,0.0,-0.2752148299417323,-5.599749198031305,0.3338759606513581,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,261.35219524509864,474.5010003716079,504.5465312641292,150.57569617259475,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,-6.36440119852967e-05,-7.643242714009634e-05,1.973120071889025e-06,0.0,-5.245098471811876e-06,-2.144238186912522e-06,5.735871109351636e-06,0.0,-6.202583516753748e-05,-0.725876483891293,-0.0004950724475097,-0.1261747788635909,-0.000509374914907,0.124647465827282,-3.094566380531209e-06,-8.586202042443675,0.002,0.0041317920720068,0.0093308643177132,0.0024981136909205,0.0,-0.2752519985117226,-5.599700432764412,0.334014825515361,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,261.3522070987923,474.5010001700384,504.5465353279616,150.57569613014795,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,-0.0004455018728182,5.951926248680971e-05,-7.212122279130951e-05,0.0,-1.7098792110424824e-05,-2.1609468768148827e-06,1.6720385972450534e-06,0.0,-0.00149385964371,-0.488163863801439,-0.0004828492255303,-0.000667703713308,0.0005021606020347,-0.1255346442341006,-4.362130908470181e-05,8.595901971805603,0.002,0.003629227597263,0.0096315383129541,0.0027301720234687,0.0,-0.2743425560132274,-5.597670177838999,0.334042825312238,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,261.3521911343813,474.501003810848,504.5465371779293,150.57569760681378,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,7.888352540265367e-05,1.6657393586829157e-06,-0.0001401318254422,0.0,-1.1343811964008944e-06,-5.823927437379959e-06,-1.7792912108406396e-07,0.0,0.0014036800263077,0.2509369592543674,0.0005155985054958,-0.2495903149822706,-0.0009894461123474,-1.82910919839685e-05,-8.382259476941144e-05,-0.0027353320386893,0.002,0.0040119120907784,0.0091444250047445,0.0023618923872297,0.0,-0.2743636081002066,-5.599601533172343,0.3330042456194738,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,261.35219325691554,474.5010036008897,504.5465370210721,150.57569751993455,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,-4.86372421225835e-05,-0.0001893115085744,-6.982138030899759e-05,0.0,-3.2569154692814587e-06,-5.218988675356698e-06,-2.1072013574622578e-08,0.0,0.0009860225441597,-0.262089801200403,0.0010045089238941,-0.1243239060945041,2.485559775776113e-06,-0.6118047228860715,-0.0342145247293853,8.571951133969915,0.002,0.0033897895424994,0.0089519825860261,0.0027006204536978,0.0,-0.2753198805745617,-5.598664661787987,0.331957000355051,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,261.3521935174377,474.50100366142544,504.54654510802914,150.5758294431046,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,6.620482951112714e-05,1.388534651462393e-06,-0.0002692749913887,0.0,-3.517437562934835e-06,-5.667293800752678e-06,-8.108028923599289e-06,0.0,0.0019432692710569,-0.351001082576999,-1.07959174227127e-05,-0.2492375719197842,0.0004909941647413,-0.6249158913168834,-0.0339989026316011,-8.588332372947665,0.002,0.0041506322673696,0.0091976739502781,0.0020475649516176,0.0,-0.2743591739921242,-5.5976802194424335,0.331916007905401,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,261.35219344286566,474.5009979750563,504.5465314316666,150.57568615200324,261.3521900000001,474.500998,504.5465370000002,148.4114840000001,-6.599559083840173e-05,0.0001252728053432,5.694648647266863e-05,0.0,-3.4428655393780407e-06,3.3547679502143945e-08,5.568333610087207e-06,0.0,0.0005137249782964,-0.0007549542601362,0.0009828918523685,0.1247746302573842,0.0009504155157407,0.3615968775769458,0.0688818625132733,-8.572891369995716,0.002,0.0034748077676827,0.0094169009116263,0.0024370727455985,0.0,-0.2734175279684302,-5.597579163006792,0.3319475182600245,0.0,0.0,0.0,0.0,0.0,0.0
