,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,258.8500960644104,474.5005606292863,504.1602382541016,300.44513302784844,258.8500900000001,474.5005680000002,504.1602390000003,297.6,-2.2877891916214628e-06,4.365763516035558e-06,6.596164030747024e-05,0.0,-6.06441032086045e-06,8.17516289566073e-06,1.4270545565492213e-07,0.0,-0.0009968593359809,0.3746258378774466,0.001407374652399,0.2379700460369898,-0.0014486606481469,0.9873349663874328,0.0001122335824935,0.0021199524884017,0.002,0.0080646498382114,0.0107851771396607,0.045811128735436,0.0,-0.3261819121484587,-5.65430689127844,0.2929800591804793,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,258.85009205517554,474.5005674686196,504.1602422435897,300.44512553934004,258.8500900000001,474.5005680000002,504.1602390000003,297.6,-5.548045797343197e-06,1.4751370707894882e-05,-9.000770301285348e-06,0.0,-2.055175453610908e-06,5.48313402560018e-07,-3.853634633281242e-06,0.0,-0.000487633885993,0.1361269007930556,-0.0004240171672607,-0.3611200187732048,-0.0009959174764022,0.1365931327228202,0.0004196873208313,8.59597296913267,0.002,0.008275607526521,0.0110577901291492,0.0459500929933602,0.0,-0.3262170693162877,-5.654332125799945,0.2949728397598601,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,258.8500961736853,474.5005654403217,504.1602443185575,300.4451194714862,258.8500900000001,474.5005680000002,504.1602390000003,297.6,6.111087676509227e-05,2.355136840081474e-05,-8.625974926471924e-06,0.0,-6.173685247961102e-06,2.7728719890049315e-06,-5.717138096216781e-06,0.0,0.0005154573794993,0.1114643508800342,1.0706901771730116e-05,0.0134476839594603,-0.0004958205043852,-0.1258265152106601,0.0002125476869273,0.0233524067298719,0.002,0.008117054831941,0.0110371571175503,0.0459683511070105,0.0,-0.3252567170571065,-5.65233434478616,0.2940113191316007,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,258.8500918432396,474.5005656223268,504.1602442096652,300.44512239773155,258.8500900000001,474.5005680000002,504.1602390000003,297.6,7.225051241398435e-05,-4.016121958790543e-05,-4.098907245724879e-06,0.0,-1.8432394845390283e-06,2.776585489952172e-06,-5.592617491689276e-06,0.0,1.1110674715173628e-05,0.1255284495687993,-0.000515847900005,-0.2370910859705402,0.0005052913652202,-0.0001961003836182,-0.0690406480270755,0.0106075278458376,0.002,0.0083487960228915,0.0109400453305015,0.0459963387721508,0.0,-0.3271788694954954,-5.654170007261351,0.2949474356771208,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,258.85009550720315,474.5005677915956,504.1602440567825,300.4451331558864,258.8500900000001,474.5005680000002,504.1602390000003,297.6,-0.0001186359075035,1.265716021341894e-05,-4.160495359780421e-06,0.0,-5.507203017069936e-06,1.968360599497508e-07,-5.44219651167613e-06,0.0,0.0004473468196654,0.250949129414675,-0.0010216369651788,-0.3501200714230681,-0.0004441718342306,-0.2372063073630497,-0.0006205389394206,8.583052392846032,0.002,0.0080035736156198,0.0109328294938728,0.0458889308258627,0.0,-0.3261349896514896,-5.652155255967519,0.2948905493506738,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,258.8500939110711,474.50056454795424,504.16024202155495,300.44527953221666,258.8500900000001,474.5005680000002,504.1602390000003,297.6,6.926244012959453e-06,-5.926355006496799e-05,-0.0001347172329553,0.0,-3.911070977959578e-06,4.033478748178855e-06,-3.818878798089696e-06,0.0,0.0004859001391617,-0.1249237828046185,-0.0004648591454711,0.3496816404424981,-0.0005027071903839,-0.1245054931079564,-0.000211677526012,-8.61840225032717,0.002,0.0083298415318917,0.0108834854056846,0.045988012258367,0.0,-0.3260905290425617,-5.653208150468639,0.2948516348537403,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,258.85009017046167,474.50056255646695,504.16024617014136,300.4451400108896,258.8500900000001,474.5005680000002,504.1602390000003,297.6,6.890786884803713e-05,0.0001306164869992,-0.0001371504375335,0.0,-1.7046154303460693e-07,5.618992912222286e-06,-7.57085338362972e-06,0.0,0.0009920287154726,0.3617546745973468,0.0009447694751045,0.1245094845583107,0.0004904063354461,-0.2500213879864884,0.0004160753016831,-0.0292222060789646,0.002,0.0080919382134899,0.011046951780039,0.0459936836404436,0.0,-0.3261066305488123,-5.651383903035027,0.2938271234379791,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,258.85009597817407,474.5005625616493,504.1602423208354,300.44512738411106,258.8500900000001,474.5005680000002,504.1602390000003,297.6,-0.00012588030833,0.0001901712837104,-9.125979187547189e-06,0.0,-5.978173930804962e-06,5.421234554441287e-06,-3.916665310785958e-06,0.0,6.500545742660693e-06,-0.0005081620019576,-0.0009461181894564,0.61228220884221,-3.733906895775265e-06,-0.1254678689616151,0.0007699981319423,8.58253988237728,0.002,0.0080998642609781,0.0109563840840362,0.0459054719206249,0.0,-0.3251559154446229,-5.652425142391328,0.2937808245159968,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,258.85009400697106,474.50055885386473,504.1602345076499,300.4451131547131,258.8500900000001,474.5005680000002,504.1602390000003,297.6,7.03281406517694e-05,0.0001245137769802,0.0001285516783866,0.0,-4.00697093121327e-06,9.753416438581975e-06,3.706193798032917e-06,0.0,0.0015076837084364,0.1253067482778911,-0.0004941967770128,0.7250872731310801,0.0014545064514676,0.3622212740592127,0.0005456638480361,0.0261128353545824,0.002,0.0080750994705559,0.0110655881123405,0.0461553468534363,0.0,-0.3261331995153252,-5.653405505401412,0.2948033256479526,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,258.8500919445962,474.50056432939147,504.16024237610975,300.44497213218347,258.8500900000001,474.5005680000002,504.1602390000003,297.6,7.171901871363437e-05,-5.57917141001686e-06,6.944746444633778e-05,0.0,-1.9445960791805504e-06,4.096994196158025e-06,-3.551382759312583e-06,0.0,0.0009985059222208,0.1129365108332042,0.0004571798148198,0.1124660103018911,7.834790116542732e-06,-0.1375214428618959,0.0340765427054342,0.0441295220666224,0.002,0.0081548636097999,0.0109879902480356,0.0460415110073059,0.0,-0.3252101480274818,-5.652426703084284,0.2939575347281835,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2,258.8500940437085,474.50056400525375,504.1602440448965,300.4449845927,258.8500900000001,474.5005680000002,504.1602390000003,297.6,3.86799912557043e-06,0.0001272583279384,6.53982124336501e-06,0.0,-4.043708415436911e-06,4.020967080378374e-06,-5.418957307679118e-06,0.0,0.0004928190451761,0.2376214067094083,3.2528867468135936e-06,-0.3369868353673962,0.0010040549299015,-0.2495950140922996,-0.000933926793839,8.595334362204522,0.002,0.0081450860249601,0.0109352896663615,0.046144844903033,0.0,-0.323379526865821,-5.653413505643597,0.2950106896626436,0.0,0.0,0.0,0.0,0.0,0.0
11,0.22,258.8500901749601,474.50056806025066,504.1602440639438,300.44486688972427,258.8500900000001,474.5005680000002,504.1602390000003,297.6,6.506792374385984e-05,-5.113438238428275e-06,-0.0001217161451592,0.0,-1.7495996968419726e-07,-4.293950724902479e-08,-5.647047980990333e-06,0.0,0.0009958875695674,0.3745701681131627,4.19896568548195e-05,-0.1121531949913396,4.380723547588719e-05,-0.2369954618944219,0.033440106526373,17.126682264708492,0.002,0.0082250640822953,0.0109249725977131,0.0462361504590772,0.0,-0.3244069494873388,-5.65246394944941,0.2940324392410033,0.0,0.0,0.0,0.0,0.0,0.0
12,0.24,258.85009594694986,474.5005624194772,504.1602422652051,300.44528907920056,258.8500900000001,474.5005680000002,504.1602390000003,297.6,-0.000133973277785,0.0001237866129782,-2.492612586149512e-06,0.0,-5.946949721114633e-06,5.794313337298759e-06,-3.851554060331729e-06,0.0,7.354138898950716e-06,-0.1130807335395132,-4.685563340943184e-06,-0.2256727253147993,0.0004875872634581,0.0125894256658764,-0.0344782985338295,-0.0405367866955513,0.002,0.0080952862315764,0.0109042359095479,0.0461132908337811,0.0,-0.3262763151302672,-5.652461248865353,0.2930880199249633,0.0,0.0,0.0,0.0,0.0,0.0
