pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net_gear,Random_Forest_gear,y_ground_truth.1,Neural_Net_plate,Random_Forest_plate
-53.648016,209.482,399.33803400000005,22800.0,0.0,0.0,-5.833333333333712,0.0,0.0,-4.7369499996408514e-11,0.0,0.3136393,-5.536458366666667,-0.6689452999999999,-0.5942138333333333,0.0,0.0,0.0,0.0,0.0,0.3136393,0.3848497271537781,0.0862260036619822,0.3136393,0.2908427119255066,0.3295717847591667
-53.648016,209.482,399.279700675,22800.0,0.0,0.0,-5.833332499999955,0.0,0.0,6.2499978525925e-05,0.0,0.313232425,-5.536376975,-0.6696776999999998,-0.5949829,0.0,0.0,0.0,0.0,0.0,0.313232425,0.384849488735199,0.0862260036619822,0.313232425,0.2908426821231842,0.3295708080591666
-53.648016,209.482,399.22136734000003,22800.0,0.0,0.0,-5.8333330000004935,0.0,0.0,-5.6843399995690214e-11,0.0,0.3126953,-5.536816419999999,-0.6723632599999998,-0.59872558,0.0,0.0,0.0,0.0,0.0,0.3126953,0.3848496973514557,0.0862260036619822,0.3126953,0.2908427119255066,0.3295708080591666
-53.648016,209.482,399.163034,22800.0,0.0,0.0,-5.833333333333239,0.0,0.0,1.5720931501039814e-17,0.0,0.3132324,-5.536865233333333,-0.6752115666666665,-0.6036132833333333,0.0,0.0,0.0,0.0,0.0,0.3132324,0.3848497271537781,0.0862260036619822,0.3132324,0.2908426821231842,0.3295717847591667
-53.648016,209.482,399.10470067142853,22800.0,0.0,0.0,-5.833332857142993,0.0,0.0,3.571425314217062e-05,0.0,0.31291848571428577,-5.536342071428571,-0.6731305714285712,-0.6038085999999999,0.0,0.0,0.0,0.0,0.0,0.3129184857142857,0.3848496675491333,0.0862260036619822,0.3129184857142857,0.2908426821231842,0.3295708080591666
-53.648016,209.482,399.0463673375,22800.0,0.0,0.0,-5.8333331250004505,0.0,0.0,-3.552712570881406e-11,0.0,0.3128051375,-5.5365600624999995,-0.6729125749999998,-0.6013916,0.0,0.0,0.0,0.0,0.0,0.3128051375,0.3848496973514557,0.0862260036619822,0.3128051375,0.2908426821231842,0.3295717847591667
-53.648016,209.482,398.988034,22800.0,0.0,0.0,-5.833333333333396,0.0,0.0,9.848169733409998e-18,0.0,0.3126627111111111,-5.537163633333333,-0.6717664666666665,-0.6003662000000001,0.0,0.0,0.0,0.0,0.0,0.3126627111111111,0.3848497271537781,0.0862260036619822,0.3126627111111111,0.2908426821231842,0.3295717847591667
-53.648016,209.482,398.92970067,22800.0,0.0,0.0,-5.833332999999925,0.0,0.0,2.4999991410368862e-05,0.0,0.31249995999999997,-5.5373047,-0.6682128799999998,-0.6010327,0.0,0.0,0.0,0.0,0.0,0.3124999599999999,0.3848496377468109,0.0862260036619822,0.3124999599999999,0.2908427119255066,0.3295708080591666
-53.648016,209.482,398.81303399999996,22800.0,0.0,0.0,-5.8333335000000375,0.0,0.0,-2.5000005621211136e-05,0.0,0.31206053,-5.53701172,-0.6673827899999998,-0.60303222,0.0,0.0,0.0,0.0,0.0,0.31206053,0.3848496973514557,0.0862260036619822,0.31206053,0.2908426821231842,0.3295717847591667
-53.648016,209.482,398.69636733,22800.0,0.0,0.0,-5.833333499999753,0.0,0.0,1.4210858293069173e-11,0.0,0.31142578,-5.537255849999999,-0.6647460699999999,-0.60308351,0.0,0.0,0.0,0.0,0.0,0.31142578,0.3848497271537781,0.0862260036619822,0.31142578,0.2908426821231842,0.3295717847591667
-53.648016,209.482,398.57970066999997,22800.0,0.0,0.0,-5.833332999999925,0.0,0.0,2.4999991410368293e-05,0.0,0.31142578,-5.53784179,-0.6639159999999998,-0.6053393699999999,0.0,0.0,0.0,0.0,0.0,0.31142578,0.3848496079444885,0.0862260036619822,0.31142578,0.2908426523208618,0.3295708080591666
-53.648016,209.482,398.463034,22800.0,0.0,0.0,-5.833333500000322,0.0,0.0,-2.5000019832071706e-05,0.0,0.31113281,-5.537890620000001,-0.6613769299999999,-0.60739015,0.0,0.0,0.0,0.0,0.0,0.31113281,0.3848497271537781,0.0862260036619822,0.31113281,0.2908426821231842,0.3295717847591667
-53.648016,209.482,398.34636732999996,22800.0,0.0,0.0,-5.833333499999753,0.0,0.0,2.8421707722785586e-11,0.0,0.31123046,-5.53759765,-0.6563964599999998,-0.60498048,0.0,0.0,0.0,0.0,0.0,0.31123046,0.3848497271537781,0.0862260036619822,0.31123046,0.2908426821231842,0.3295717847591667
-53.648016,209.482,398.22970067,22800.0,0.0,0.0,-5.833333000000209,0.0,0.0,2.4999977199508292e-05,0.0,0.31054687,-5.53808594,-0.6499511499999999,-0.6001098600000001,0.0,0.0,0.0,0.0,0.0,0.31054687,0.3848496079444885,0.0862260036619822,0.31054687,0.2908426523208618,0.3295708080591666
-53.648016,209.482,398.113034,22800.0,0.0,0.0,-5.8333335000000375,0.0,0.0,-2.4999991410361706e-05,0.0,0.3107422,-5.53862305,-0.6476073899999999,-0.5995458800000001,0.0,0.0,0.0,0.0,0.0,0.3107422,0.3848497271537781,0.0862260036619822,0.3107422,0.2908426821231842,0.3295717847591667
-53.648016,209.482,397.99636733,22800.0,0.0,0.0,-5.833333499999753,0.0,0.0,1.4210858293069173e-11,0.0,0.31054688999999996,-5.5383789100000005,-0.6454101399999999,-0.6012377799999999,0.0,0.0,0.0,0.0,0.0,0.3105468899999999,0.3848497271537781,0.0862260036619822,0.3105468899999999,0.2908426821231842,0.3295717847591667
-53.648016,209.482,397.87970067,22800.0,0.0,0.0,-5.833332999999925,0.0,0.0,2.4999991410368862e-05,0.0,0.31049807999999995,-5.53759766,-0.6435546699999999,-0.60164795,0.0,0.0,0.0,0.0,0.0,0.3104980799999999,0.3848496079444885,0.0862260036619822,0.3104980799999999,0.2908426523208618,0.3295708080591666
-53.648016,209.482,397.76303399999995,22800.0,0.0,0.0,-5.833333500000322,0.0,0.0,-2.5000019832061135e-05,0.0,0.31015629,-5.537695309999999,-0.6453124699999998,-0.60231446,0.0,0.0,0.0,0.0,0.0,0.31015629,0.3848497271537781,0.0862260036619822,0.31015629,0.2908426821231842,0.3295717847591667
-53.648016,209.482,397.64636733000003,22800.0,0.0,0.0,-5.833333499999753,0.0,0.0,2.8421718293756768e-11,0.0,0.31020512,-5.537890620000001,-0.6456542699999999,-0.60508301,0.0,0.0,0.0,0.0,0.0,0.31020512,0.3848497271537781,0.0862260036619822,0.31020512,0.2908426821231842,0.3295717847591667
-53.648016,209.482,397.52970067,22800.0,0.0,0.0,-5.833333000000209,0.0,0.0,2.4999977199518863e-05,0.0,0.30996097,-5.537744160000001,-0.6443847399999998,-0.60528808,0.0,0.0,0.0,0.0,0.0,0.30996097,0.3848496079444885,0.0862260036619822,0.30996097,0.2908426523208618,0.3295708080591666
-53.648016,209.482,397.41303400000004,22800.0,0.0,0.0,-5.833333500000322,0.0,0.0,-2.5000005621211136e-05,0.0,0.30971682999999994,-5.53754885,-0.6434081699999998,-0.60093017,0.0,0.0,0.0,0.0,0.0,0.3097168299999999,0.3848497271537781,0.0862260036619822,0.3097168299999999,0.2908426821231842,0.3295717847591667
-53.648016,209.482,397.29636733,22800.0,0.0,0.0,-5.833333499999753,0.0,0.0,2.8421718293756768e-11,0.0,0.30981447999999995,-5.53789065,-0.6456542799999998,-0.59800779,0.0,0.0,0.0,0.0,0.0,0.3098144799999999,0.3848497271537781,0.0862260036619822,0.3098144799999999,0.2908426821231842,0.3295717847591667
-53.648016,209.482,397.17970067,22800.0,0.0,0.0,-5.833332999999925,0.0,0.0,2.4999991410368862e-05,0.0,0.30981448999999994,-5.53813479,-0.6471191299999999,-0.5994946,0.0,0.0,0.0,0.0,0.0,0.3098144899999999,0.3848496079444885,0.0862260036619822,0.3098144899999999,0.2908426523208618,0.3295708080591666
-53.648016,209.482,397.06303399999996,22800.0,0.0,0.0,-5.833333499999753,0.0,0.0,-2.4999991410361137e-05,0.0,0.3098145,-5.5374512,-0.6534179599999999,-0.6014428599999999,0.0,0.0,0.0,0.0,0.0,0.3098145,0.3848497271537781,0.0862260036619822,0.3098145,0.2908426821231842,0.3295717847591667
