Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,-21.108818217561943,241.74957421759427,572.9198629795131,172.21930413737792,-21.108816000000008,241.749572,572.9198580000002,167.359281,0.0001345488916373,-0.0001359488977111,-0.0001291450708376,0.0,2.012413472581901e-06,-2.217594183414231e-06,-5.776994395688747e-06,0.0,-5.3738821930182816e-05,-0.3119987902210453,-0.0009019225420951,-0.0002939348173188,0.0005447122064192,-1.486852040735426,-0.0344526836838561,42.93976366131603,0.002,0.008540546626387,0.0083439345802918,0.0025777637587568,0.0,-0.3047004611938059,-5.595700581117383,0.4101680193068792,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,-21.1088104353664,241.74956846522863,572.9198671614832,172.2197156581779,-21.108816000000008,241.749572,572.9198580000002,167.359281,-0.00012185236361,-1.4207761983738482e-06,-0.0001926558437019,0.0,-5.784926524147046e-06,3.534771389661487e-06,-9.55315560261969e-06,0.0,-0.0014628278286487,-0.3612926048097062,-0.0004549604744643,0.1118756117713919,0.0004305022516665,-0.6104854727162002,0.0338799962678797,-8.58552270230992,0.002,0.0085551049061369,0.0084057399937572,0.0024735022922997,0.0,-0.3037661546938703,-5.595695207243718,0.4102017670658859,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,-21.108816336644605,241.74956845758024,572.9198593574781,172.2195866790743,-21.108816000000008,241.749572,572.9198580000002,167.359281,0.0001344433505427,-2.539259707216404e-06,6.256629700986852e-05,0.0,-7.686799038994661e-08,3.5424198267648257e-06,-2.1575370188020685e-06,0.0,-0.0009056375908577,0.1252942977805187,0.0009497378724865,0.1248150805871075,-0.0005155501174681,0.1258872151939605,-0.0003470807330367,-0.0402085996168381,0.002,0.0084493806328535,0.0084826525198844,0.0025981260895066,0.0,-0.3047304490981476,-5.595710034300465,0.4101848963227809,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,-21.108819925819112,241.74956670862443,572.9198633151943,172.21958887247143,-21.108816000000008,241.749572,572.9198580000002,167.359281,0.0001252696054006,-7.085744912294238e-06,-5.363134156712667e-06,0.0,3.941533222819414e-06,5.29137562245413e-06,-6.32843212589217e-06,0.0,0.0009556249807146,0.4622593539661405,0.000443339441798,0.0004770890344951,0.0005027744639312,-0.2383273206804541,-0.033972041041898,-8.633382537882293,0.002,0.0086065684134091,0.0083442160727978,0.0023192229071015,0.0,-0.3046408768218701,-5.595761637435396,0.4101329838185977,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,-21.10880863167528,241.74956491248943,572.9198633451058,172.21957636186283,-21.108816000000008,241.749572,572.9198580000002,167.359281,-0.0001377505554171,0.000112866030185,-6.234058817349121e-05,0.0,-7.73633725656645e-06,7.087510626539114e-06,-5.961037263166608e-06,0.0,0.0014549102555398,-0.1248375550889117,0.000490973886357,0.1244826956701687,-0.0014862113444835,-0.1251243153769868,0.0007903200772583,-8.58854988603731,0.002,0.008446166860827,0.0083541268508796,0.0024761448834909,0.0,-0.3065263102280688,-5.595811490968897,0.4101177640100423,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,-21.1088144988822,241.7495627391914,572.9198669084474,172.2192888070226,-21.108816000000008,241.749572,572.9198580000002,167.359281,6.428639794921266e-05,0.0003072866138689,-0.0001199490614308,0.0,-1.883770115923908e-06,9.260808685760954e-06,-9.721790247618717e-06,0.0,-0.0004988056607536,0.012694507002447,0.0004572351517064,0.4992638097153064,-0.0004948594142417,-0.1240626473807517,0.0347790737004069,17.195909702558534,0.002,0.008389594392854,0.0083924614324295,0.0027688658828719,0.0,-0.3035929718037554,-5.595759006305442,0.4101383355731439,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,-21.108816112632,241.74956874730657,572.9198575584168,172.21955881910986,-21.108816000000008,241.749572,572.9198580000002,167.359281,3.798730470857612e-06,-7.273191598993462e-05,7.299951032470561e-05,0.0,1.126384425113534e-07,3.25269352153749e-06,2.2828564394227202e-07,0.0,-0.0009508950904268,0.4753080776579539,0.0004569347846909,-0.3618501769013124,0.0009901019827464,0.2255762453230262,-0.0342169265629643,-8.585158581478282,0.002,0.0084140131168945,0.0087339720608632,0.0024358539417968,0.0,-0.3036085475158959,-5.595628663338914,0.4101426126279867,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,-21.10881242434436,241.7495665747337,572.919863186168,172.21941918364337,-21.108816000000008,241.749572,572.9198580000002,167.359281,-6.316508317705022e-05,0.0001190601707433,-0.0001351550288281,0.0,-3.772394144144653e-06,5.425266351934365e-06,-6.0006579126591295e-06,0.0,-0.0009587216534086,0.225472226748838,-0.0004580973592139,0.0127917467125629,-9.17186104727602e-06,-0.2255269636927598,-0.0343042904817467,-8.577284984820293,0.002,0.0085926906479438,0.0083668267777172,0.0026282700170701,0.0,-0.3036531323375215,-5.598540192562711,0.4101500790680544,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,-21.108812180081987,241.74956487916444,572.9198594290052,172.21914698064126,-21.108816000000008,241.749572,572.9198580000002,167.359281,-8.02744063782902e-06,0.0001714273337239,5.589026887986941e-05,0.0,-4.217785267591684e-06,7.1208356604503e-06,-2.2345566948191643e-06,0.0,0.000436638922667,0.2373318707805252,0.0004524514824755,0.2364909139153876,-0.00094461248125,-0.0132062350001961,-0.0003355882826648,-8.568869210549078,0.002,0.0084007345931909,0.0083167499009974,0.0024219387781886,0.0,-0.3027244193539423,-5.598666812761943,0.4111618551695791,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,-21.10881199261928,241.7495702631641,572.9198630391192,172.21970496319156,-21.108816000000008,241.749572,572.9198580000002,167.359281,-6.7833409110615215e-06,-7.562993536337669e-06,-3.8694783688021794e-06,0.0,-4.429850789415633e-06,1.736835985003117e-06,-6.021981721209829e-06,0.0,0.0008961275127551,-0.000606729172466,-0.0004356766226612,-0.1122221887505212,0.0004598031678915,-0.3621343144827084,-0.0347104159997444,-8.608165746855672,0.002,0.0085090753949867,0.008456679598579,0.0027383329408377,0.0,-0.3036471372385621,-5.595789860434861,0.4101712616615204,0.0,0.0,0.0,0.0,0.0,0.0
